city,edition,sport,discipline,athlete,country_code,gender,event,event_gender,medal,result
Beijing,2008,aquatics,Diving,"GALPERIN, Gleb",RUS,Men,10m platform,M,bronze,3
Beijing,2008,aquatics,Diving,"MITCHAM, Matthew",AUS,Men,10m platform,M,gold,1
Beijing,2008,aquatics,Diving,"ZHOU, Luxin",CHN,Men,10m platform,M,silver,2
Beijing,2008,aquatics,Diving,"WANG, Xin",CHN,Women,10m platform,W,bronze,3
Beijing,2008,aquatics,Diving,"CHEN, Ruolin",CHN,Women,10m platform,W,gold,1
Beijing,2008,aquatics,Diving,"HEYMANS, Emilie",CAN,Women,10m platform,W,silver,2
Beijing,2008,aquatics,Diving,"QIN, Kai",CHN,Men,3m springboard,M,bronze,3
Beijing,2008,aquatics,Diving,"HE, Chong",CHN,Men,3m springboard,M,gold,1
Beijing,2008,aquatics,Diving,"DESPATIE, Alexandre",CAN,Men,3m springboard,M,silver,2
Beijing,2008,aquatics,Diving,"WU, Minxia",CHN,Women,3m springboard,W,bronze,3
Beijing,2008,aquatics,Diving,"GUO, Jingjing",CHN,Women,3m springboard,W,gold,1
Beijing,2008,aquatics,Diving,"PAKHALINA, Julia",RUS,Women,3m springboard,W,silver,2
Beijing,2008,aquatics,Diving,"DOBROSKOK, Dmitriy",RUS,Men,synchronized diving 10m platform,M,bronze,3
Beijing,2008,aquatics,Diving,"GALPERIN, Gleb",RUS,Men,synchronized diving 10m platform,M,bronze,3
Beijing,2008,aquatics,Diving,"HUO, Liang",CHN,Men,synchronized diving 10m platform,M,gold,1
Beijing,,aquatics,Diving,"LIN, Yue",CHN,Men,synchronized diving 10m platform,M,gold,1
Beijing,2008,aquatics,Diving,"HAUSDING, Patrick",GER,Men,synchronized diving 10m platform,M,silver,2
,2008,aquatics,Diving,"KLEIN, Sascha",GER,Men,synchronized diving 10m platform,M,silver,2
Beijing,2008,aquatics,Diving,"ESPINOSA, Paola",MEX,Women,synchronized diving 10m platform,W,bronze,3
Beijing,2008,aquatics,Diving,"ORTIZ, Tatiana",MEX,Women,synchronized diving 10m platform,W,bronze,3
Beijing,2008,aquatics,Diving,"CHEN, Ruolin",CHN,Women,synchronized diving 10m platform,W,gold,1
Beijing,2008,aquatics,Diving,"WANG, Xin",CHN,Women,synchronized diving 10m platform,W,gold,1
Beijing,2008,aquatics,Diving,"COLE, Briony",AUS,Women,synchronized diving 10m platform,W,silver,2
Beijing,2008,aquatics,Diving,"WU, Melissa",AUS,Women,synchronized diving 10m platform,W,silver,2
Beijing,2008,aquatics,Diving,"KVASHA, Illya",UKR,Men,synchronized diving 3m springboard,M,bronze,3
,2008,aquatics,Diving,"PRYGOROV, Oleksiy",UKR,Men,synchronized diving 3m springboard,M,bronze,3
Beijing,2008,aquatics,Diving,"QIN, Kai",CHN,Men,synchronized diving 3m springboard,M,gold,1
Beijing,2008,aquatics,Diving,"WANG, Feng",CHN,Men,synchronized diving 3m springboard,M,gold,1
Beijing,2008,aquatics,Diving,"KUNAKOV, Yuriy",RUS,Men,synchronized diving 3m springboard,M,silver,2
Beijing,2008,aquatics,Diving,"SAUTIN, Dmitry",RUS,Men,synchronized diving 3m springboard,M,silver,2
Beijing,2008,aquatics,Diving,"FISCHER, Heike",GER,Women,synchronized diving 3m springboard,W,bronze,3
Beijing,2008,aquatics,Diving,"KOTZIAN, Ditte",GER,Women,synchronized diving 3m springboard,W,bronze,3
Beijing,2008,aquatics,Diving,"GUO, Jingjing",CHN,Women,synchronized diving 3m springboard,W,gold,1
Beijing,2008,aquatics,Diving,"WU, Minxia",CHN,Women,synchronized diving 3m springboard,W,gold,1
Beijing,2008,aquatics,Diving,"PAKHALINA, Julia",RUS,Women,synchronized diving 3m springboard,W,silver,2
Beijing,2008,aquatics,Diving,"POZDNYAKOVA, Anastasia",RUS,Women,synchronized diving 3m springboard,W,silver,2
Beijing,2008,aquatics,Swimming,"STOECKEL, Hayden",AUS,Men,100m backstroke,M,bronze,3
Beijing,2008,aquatics,Swimming,"VYATCHANIN, Arkady",RUS,Men,100m backstroke,M,bronze,3
Beijing,2008,aquatics,Swimming,"PEIRSOL, Aaron",USA,Men,100m backstroke,M,gold,1
Beijing,2008,aquatics,Swimming,"GREVERS, Matt",USA,Men,100m backstroke,M,silver,2
Beijing,2008,aquatics,Swimming,"HOELZER, Margaret",USA,Women,100m backstroke,W,bronze,3
Beijing,2008,aquatics,Swimming,"COUGHLIN, Natalie",USA,Women,100m backstroke,W,gold,1
Beijing,2008,aquatics,Swimming,"COVENTRY, Kirsty",ZIM,Women,100m backstroke,W,silver,2
Beijing,2008,aquatics,Swimming,"DUBOSCQ, Hugues",FRA,Men,100m breaststroke,M,bronze,3
Beijing,2008,aquatics,Swimming,"KITAJIMA, Kosuke",JPN,Men,100m breaststroke,M,gold,1
Beijing,2008,aquatics,Swimming,"OEN, Alexander Dale",NOR,Men,100m breaststroke,M,silver,2
Beijing,2008,aquatics,Swimming,"JUKIC, Mirna",AUT,Women,100m breaststroke,W,bronze,3
Beijing,2008,aquatics,Swimming,"JONES, Leisel",AUS,Women,100m breaststroke,W,gold,1
Beijing,2008,aquatics,Swimming,"SONI, Rebecca",USA,Women,100m breaststroke,W,silver,2
