URI,Title,Year,Album,Popularity,Duration,Key,Mode,Tempo,Time_signature,Valence,Danceability,Energy,Loudness,Acousticness,Instrumentalness,Liveness,Speechiness,Album debut,Other releases,Single A side,Single B side,Single certification,Genre,Styles,Themes,Moods,Songwriter(s),Lead vocal(s),Cover,Covered by,Chart position UK (Wikipedia),Chart position US (Wikipedia),Highest position (The Guardian),Weeks on chart in UK (The Guardian),Weeks at No1 in UK (The Guardian),Highest position (Billboard),Weeks at No1 (Billboard),Top 50 (Billboard),Top 50 (Ultimate classic rock),Top 50 (Rolling Stone),Top 50 (NME),Top 50 (Top50songs.org),"Top 50 (USA today, 2017)","Top 50 (Vulture, by Bill Wyman)"
spotify:track:2FDEHIMkjxFLzj688M2I3h,(You're So Square) Baby I Don't Care - Studio Jam,,The Beatles,29.0,43.0,9.0,1.0,112.173,4.0,0.353,0.411,0.84,-9.919,0.0991,0.0,0.364,0.0896,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:2HvTGx5fzFGpHSyRNvXd9T,12-bar Original,1965,Anthology 2,31.0,175.0,9.0,1.0,122.678,4.0,0.566,0.6,0.535,-8.178,0.00154,0.102,0.123,0.0298,Anthology 2,,,,,Blues,,,Passionate,"Lennon, McCartney, Harrison and Starkey",,,,,,,,,,,,,,,,,
spotify:track:34dsKRJHIadrrNdCDtMwGn,A Beginning - Anthology 3 Version,,Anthology 3,29.0,50.0,0.0,1.0,90.588,3.0,0.033,0.264,0.293,-16.498,0.958,0.942,0.338,0.0377,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:0hKRSZhUGEhKU6aNSPBACZ,A Day in the Life,1967,Sgt. Pepper's Lonely Hearts Club Band,65.0,335.0,4.0,0.0,163.219,4.0,0.175,0.364,0.457,-14.162,0.29,0.000106,0.922,0.0675,Sgt. Pepper's Lonely Hearts Club Band,12.0,Sgt. Pepper's Lonely Hearts Club Band / With a Little Help from My Friends,A Day in the Life,,"Psychedelic Rock, Art Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock, Psychedelic/Garage",,Ambitious Complex Dramatic Dreamy Eerie Elaborate Epic Ominous Sophisticated Spacey Sprawling Stately Theatrical Trippy Druggy Indulgent Literate Nocturnal Quirky Searching Stylish Unsettling Wry,Lennon and McCartney,Lennon and McCartney,,27.0,63.0,,,,,,,,1.0,1.0,2.0,18.0,1.0,1.0
spotify:track:5J2CHimS7dWYMImCHkEFaJ,A Hard Day's Night,1964,A Hard Day's Night,71.0,152.0,0.0,1.0,138.514,4.0,0.797,0.59,0.805,-6.481,0.137,0.0,0.0996,0.0371,UK: A Hard Day's Night US: 1962-1966,35.0,A Hard Day's Night; A Hard Day's Night,Things We Said Today; I Should Have Known Better,RIAA Gold,"Rock, Electronic, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop, Club/Dance","Everyday Life, In Love, Relationships",Carefree Cheerful Explosive Marching Optimistic Positive Strong Swinging,Lennon,"Lennon, with McCartney",,35.0,1.0,1.0,1.0,13.0,3.0,1.0,2.0,8.0,18.0,11.0,19.0,19.0,15.0,41.0
spotify:track:5RuE7nwp4TWsRvLXG7Yjy1,A Shot of Rhythm and Blues,1963,Live at the BBC,35.0,136.0,2.0,1.0,128.919,4.0,0.968,0.699,0.752,-9.565,0.879,0.000237,0.265,0.0354,Live at the BBC,,,,,"R&B, Pop/Rock","British Invasion, Merseybeat, Contemporary Pop/Rock, Early Pop/Rock","Celebration, Hanging Out, Partying",Amiable/Good-Natured Innocent Swaggering Bright Yearning Freewheeling Summery Whimsical Celebratory Fun Light Lively Bravado Confident Passionate Sparkling Energetic Rollicking,Thompson,Lennon,Y,,,,,,,,,,,,,,,
spotify:track:7fh53ta3vAOGJMQ4i5tCHe,A Taste of Honey,1963,Please Please Me,51.0,163.0,1.0,0.0,101.408,3.0,0.412,0.42,0.372,-11.416,0.698,0.0,0.104,0.0327,UK: Please Please Me US: The Early Beatles,29.0,,,,"Pop/Rock, Jazz, Stage&Screen","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Cast Recordings, Show Tunes",Affection/Fondness,Earnest Precious Refined Sentimental Sweet Warm Amiable/Good-Natured Romantic Self-Conscious Yearning Restrained Whimsical,"Scott, Marlow",McCartney,Y,,,,,,,,,,,,,,,
spotify:track:4dkoqJrP0L8FXftrMZongF,Across the Universe,1968,Let It Be,69.0,230.0,1.0,1.0,152.126,4.0,0.858,0.257,0.412,-11.788,0.361,8.68e-05,0.0702,0.0287,Let It Be,19.0,,,,"Psychedelic folk, Pop/Rock","Album Rock, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Singer/Songwriter","Introspection, Awareness, In Love, Nature, Religion",Atmospheric Dreamy Lazy Meandering Ramshackle Searching Spacey Laid-Back/Mellow Quirky Spiritual Sprawling Trippy Melancholy Sweet,Lennon,Lennon,,32.0,,,,,,,,,,,7.0,30.0,32.0,
spotify:track:00fyPXxe2SCBHnFwEO9Eh1,Across the Universe - Take 2 / Anthology 2 Version,,Anthology 2,35.0,212.0,2.0,1.0,79.377,4.0,0.463,0.488,0.341,-11.907,0.681,0.0,0.0844,0.0256,,,,,,,,,,,,,,,,,,,,,,,,,,,
spotify:track:0IxxqsYBcCHEQ1HqLYJnwx,Act Naturally,1965,Help!,52.0,139.0,7.0,1.0,93.02,4.0,0.944,0.702,0.447,-10.122,0.366,0.0,0.153,0.0308,UK: Help! US: Yesterday and Today,14.0,Yesterday,Act Naturally,RIAA Gold,"Country, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock, Bakersfield Sound","Hanging Out, Playful",Amiable/Good-Natured Bright Fun Ramshackle Humorous Playful Rollicking Laid-Back/Mellow Organic Warm Carefree Freewheeling,"Russell, Morrison",Starkey,Y,,,47.0,,,,47.0,,50.0,,,,,,
spotify:track:3OUpVpFeNx5jeInhHqiNfs,Ain't She Sweet,1961,Anthology 1,38.0,133.0,4.0,1.0,77.967,4.0,0.819,0.495,0.854,-5.699,0.208,0.0,0.0371,0.0434,Anthology 1,9.0,,,,Pop/Rock,"British Invasion, Rock & Roll","Affection/Fondness, Day Driving, In Love, New Love, Playful, Hanging Out",Rollicking Amiable/Good-Natured Cheerful Fun Playful Exuberant Innocent,"Yellen, Ager",Lennon,Y,,,19.0,29.0,6.0,,19.0,,41.0,,,,,,
spotify:track:5tztLBvTlNC15Np2tnQ5Ll,All I've Got to Do,1963,With the Beatles,55.0,124.0,1.0,0.0,119.403,4.0,0.879,0.49,0.579,-10.301,0.217,0.0,0.0644,0.0344,UK: With the Beatles US: Meet The Beatles!,9.0,,,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",,Amiable/Good-Natured Earnest Sweet Innocent Poignant Warm Bright Fun Cheerful,Lennon,Lennon,,2.0,,,,,,,,,,,,,,
spotify:track:4joiWvli4qJVEW6qZV2i2J,All My Loving,1963,With the Beatles,73.0,124.0,1.0,0.0,77.56,4.0,0.9,0.416,0.563,-8.724,0.207,0.0,0.343,0.0298,UK: With the Beatles US: Meet The Beatles!,32.0,All My Loving,This Boy,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll","Day Driving, In Love, New Love, Partying, Road Trip, Summer, TGIF, Affection/Fondness",Bright Energetic Exciting Exuberant Rousing Sweet Cheerful Earnest Fun Joyous Lively Rollicking Warm Innocent Playful Raucous Gleeful,McCartney,McCartney,,20.0,,45.0,,,,,,,46.0,44.0,35.0,43.0,29.0,
spotify:track:25RYJGPnetSkV8le7TeJnR,All Things Must Pass,1969,Anthology 3,35.0,185.0,9.0,1.0,93.232,3.0,0.61,0.492,0.231,-13.476,0.972,6.16e-06,0.229,0.0368,Anthology 3,,,,,"Folk Rock, Pop/Rock","Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Autumn, Breakup, Comfort, Feeling Blue, Heartache, Introspection, Late Night, Rainy Day, Reflection, Regret, Reminiscing, Solitude",Autumnal Bittersweet Melancholy Plaintive Poignant Reflective Searching Wistful Yearning,Harrison,Harrison,,,,,,,,,,,,,,,,
spotify:track:2ck8lFrYAch2GPtdhpTHe3,All Together Now,1967,Yellow Submarine,45.0,130.0,2.0,1.0,95.937,4.0,0.778,0.587,0.431,-9.495,0.0722,0.0,0.561,0.0686,Yellow Submarine,8.0,All Together Now,Hey Bulldog,,"Skiffle, Pop/Rock","Contemporary Pop/Rock, British Psychedelia, Psychedelic/Garage","Birthday, Family Gatherings, Playful",Amiable/Good-Natured Carefree Cheerful Energetic Exuberant Freewheeling Fun Giddy Playful Quirky Silly Whimsical Celebratory Happy Rollicking Gleeful Ramshackle Rousing Humorous Precious,"McCartney, with Lennon","McCartney, with Lennon",,3.0,,,,,,,,,,,,,,
spotify:track:68BTFws92cRztMS1oQ7Ewj,All You Need Is Love,1967,Magical Mystery Tour,68.0,237.0,7.0,1.0,103.436,4.0,0.653,0.4,0.48,-7.768,0.346,3.1e-05,0.155,0.0295,Magical Mystery Tour,25.0,All You Need Is Love,"Baby, You're a Rich Man",RIAA Gold,Pop/Rock,"Contemporary Pop/Rock, British Psychedelia, Psychedelic/Garage","Affection/Fondness, Affirmation, In Love",Amiable/Good-Natured Cheerful Lush Sentimental Sophisticated Stately Summery Sweet Warm Whimsical Playful Earnest Freewheeling,Lennon,Lennon,,20.0,1.0,1.0,,,,1.0,,15.0,23.0,21.0,24.0,7.0,33.0,
spotify:track:65vdMBskhx3akkG9vQlSH1,And I Love Her,1964,A Hard Day's Night,74.0,152.0,1.0,0.0,113.312,4.0,0.636,0.767,0.331,-10.777,0.64,0.0,0.0681,0.0337,UK: A Hard Day's Night US: Something New,29.0,And I Love Her,If I Fell,,Pop/Rock,"British Invasion. Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Adult Contemporary, Alternative/Indie Rock, Britpop","New Love, In Love, Relationships",Poignant Reflective Gentle Precious Warm Delicate Dreamy Earnest Intimate Romantic Sentimental Sweet,"McCartney, with Lennon",McCartney,,32.0,,12.0,,,,12.0,,37.0,,,,,,
spotify:track:4KRgqwb4kvBuTz1utbYxfb,And Your Bird Can Sing,1966,Revolver,58.0,121.0,4.0,1.0,132.59,4.0,0.966,0.555,0.65,-6.936,0.0067,0.0491,0.236,0.0282,UK: Revolver US: Yesterday and Today,9.0,,,,"Power Pop, Psychedelic Pop, Pop/Rock","British Invasion, British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage, Rock & Roll",,Acerbic Bright Energetic Exciting Freewheeling Lively Rebellious Rousing Sardonic Trippy Elaborate Playful Quirky Raucous Tense/Anxious Confident,"Lennon, with McCartney",Lennon,,6.0,,,,,,,,,,,30.0,,,33.0
spotify:track:2baEFuU0gQon0hgVRioI1o,Anna (Go to Him),1963,Please Please Me,58.0,168.0,2.0,1.0,109.286,4.0,0.835,0.608,0.565,-11.06,0.635,0.0,0.0601,0.0336,UK: Please Please Me US: The Early Beatles,16.0,,,,"Soul, Pop/Rock","British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","Breakup, Feeling Blue, Heartache, Regret",Earnest Yearning Warm Bittersweet Melancholy Passionate Poignant Reflective,Alexander,Lennon,Y,,,,,,,,,,,,,,,
spotify:track:7hefVXaGsFPesbK6fKwS6F,Another Girl,1965,Help!,52.0,124.0,9.0,1.0,88.657,4.0,0.822,0.516,0.638,-7.453,0.238,0.0,0.333,0.0314,Help!,9.0,,,,"Country Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll","Breakup, New Love",Rollicking Rousing Freewheeling Fun Swaggering Carefree Bravado,McCartney,McCartney,,,,,,,,,,,,,,,,
spotify:track:70XHAdaMaoLIOVb1hSaeJ4,Any Time at All,1964,A Hard Day's Night,52.0,133.0,2.0,1.0,141.016,4.0,0.744,0.612,0.719,-7.026,0.366,3.88e-06,0.437,0.0398,UK: A Hard Day's Night US: Something New,15.0,,,,Pop/Rock,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll, Adult Contemporary, Alternative/Indie Rock, Britpop","Awareness, In Love, Yearning",Bright Energetic Exciting Joyous Passionate Rollicking Rousing Swaggering Exuberant Carefree Cheerful Explosive Lively Optimistic Positive Raucous Romantic Strong,"Lennon, with McCartney","Lennon, with McCartney",,4.0,,,,,,,,,,,,,,
spotify:track:7529Z6b1rlGZFFPWjHPeV5,Ask Me Why,1962,Please Please Me,52.0,144.0,4.0,1.0,133.942,4.0,0.597,0.605,0.394,-11.33,0.767,0.0,0.0967,0.0378,UK: Please Please Me US: The Early Beatles,24.0,Please Please Me,Ask Me Why,,Pop/Rock,"British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","Affection/Fondness, In Love",Warm Amiable/Good-Natured Bright Earnest Sweet Innocent Sentimental,"Lennon, with McCartney",Lennon,,1.0,,,,,,,,,,,,,,
spotify:track:2VmB1rF9FtfKUmFHDVnq8Q,Baby It's You,1963,Please Please Me,56.0,162.0,4.0,0.0,112.421,4.0,0.879,0.608,0.494,-12.211,0.778,0.0,0.0926,0.0345,UK: Please Please Me US: The Early Beatles,17.0,,,,Pop/Rock,"British Invasion, Early Pop/Rock, Merseybeat, Contemporary Pop/Rock, Rock & Roll","Affection/Fondness, In Love",Bright Poignant Amiable/Good-Natured Earnest Sweet Warm Yearning Sentimental Intimate Reflective Searching,"Bacharach, David, Dixon",Lennon,Y,,7.0,67.0,7.0,7.0,,,,,,,,,,
spotify:track:7cb2SdLm1UMLwdUoWwrZN1,Baby's in Black,1964,Beatles for Sale,48.0,122.0,9.0,1.0,202.97,3.0,0.876,0.374,0.596,-7.666,0.434,0.0,0.098,0.0416,UK: Beatles for Sale US: Beatles '65,20.0,Real Love,Baby's in Black,RIAA Gold,"Folk Rock, Pop/Rock","British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Rock & Roll, Country-Rock","Heartache, Introspection, Jealousy, Loss/Grief, Feeling Blue",Angst-Ridden Anguished/Distraught Autumnal Brooding Melancholy Sad Weary Yearning Gloomy Reflective Bleak Nocturnal Searching,Lennon and McCartney,Lennon and McCartney,,2.0,,,,,,,,,,,,,,
spotify:track:0JBvtprXP2Z0LP3jmzA7Xp,"Baby, You're a Rich Man",1967,Magical Mystery Tour,55.0,183.0,7.0,1.0,96.751,4.0,0.467,0.619,0.625,-9.635,0.0119,1.05e-06,0.152,0.036,Magical Mystery Tour,10.0,All You Need Is Love,"Baby, You're a Rich Man",RIAA Gold,"Psychedelic Pop, Psychedelic Rock, Pop/Rock","British Psychedelia, Contemporary Pop/Rock, Early Pop/Rock, Psychedelic/Garage",,Acerbic Cynical/Sarcastic Freewheeling Quirky Snide Spacey Trippy Whimsical Ironic Irreverent Nocturnal Playful Rousing Ethereal Exciting Hypnotic Messy,Lennon and McCartney,Lennon,,3.0,1.0,34.0,,,,34.0,,48.0,,,,,,
spotify:track:0j3p1p06deJ7f9xmJ9yG22,Back in the U.S.S.R.,1968,The Beatles,65.0,163.0,9.0,1.0,142.489,4.0,0.494,0.48,0.969,-7.464,0.069,0.00022,0.0608,0.0854,The Beatles,13.0,Back in the U.S.S.R.,Twist and Shout,,"Rock and Roll, Hard Rock, Pop/Rock","Contemporary Pop/Rock, Hard Rock, Rock & Roll, Early Pop/Rock, Album Rock","Playful, At the Beach, Partying, Road Trip, Vacation",Exciting Freewheeling Fun Playful Rollicking Rousing Summery Swaggering Carefree Cheerful Energetic Exuberant Irreverent Joyous Humorous Raucous,McCartney,McCartney,,13.0,19.0,,19.0,6.0,,,,,,,,27.0,,47.0
spotify:track:7iTjGs5z7opNGCXyurs0Q7,Bad Boy,1965,Past Masters (Vols. 1 & 2 / Remastered),40.0,141.0,0.0,1.0,134.64,4.0,0.878,0.549,0.725,-8.512,0.199,0.0,0.178,0.0431,UK: A Collection of Beatles Oldies US: Beatles VI,,,,,R&B,"British Invasion, Contemporary Pop/Rock, Early Pop/Rock, Merseybeat, Rock & Roll",Cool & Cocky,Bright Energetic Exciting Exuberant Raucous Rollicking Rousing Rowdy Brash Rambunctious Passionate Rebellious,Williams,Lennon,Y,,,,,,,,,,,,,,,
spotify:track:6N6He3Wk0q2O0f2LRLrbil,Beautiful Dreamer,1963,On Air – Live at the BBC Volume 2,25.0,106.0,2.0,1.0,169.334,4.0,0.81,0.44,0.765,-8.699,0.84,0.166,0.2,0.0855,On Air – Live at the BBC Volume 2,,,,,Pop/Rock,,,,Foster,McCartney,Y,,,,,,,,,,,,,,,
spotify:track:1rxoyGj1QuPoVi8fOft1Kt,Because,1969,Abbey Road,60.0,165.0,2.0,1.0,81.257,4.0,0.162,0.328,0.249,-11.777,0.754,5.77e-06,0.134,0.0272,Abbey Road,11.0,,,,Pop/Rock,"Contemporary Pop/Rock, Early Pop/Rock, Prog-Rock, British Psychedelia, Psychedelic/Garage, Album Rock",,Atmospheric Dreamy Reflective Hypnotic Sophisticated Austere Eerie Elegant Ethereal Quirky Refined Relaxed Self-Conscious Summery Trippy,Lennon,"Lennon, McCartney, Harrison",,14.0,,,,,,,,,,,,31.0,,
