,title,author,release_date,peak_weeks,peak_date,total_weeks
0,D'yer Mak'er,Led Zeppelin,10.20.73,2012 Wks,12.29.73,16
1,Whole Lotta Love,Led Zeppelin,11.22.69,412 Wks,01.31.70,15
2,Fool In The Rain,Led Zeppelin,12.22.79,2112 Wks,02.16.80,13
3,Immigrant Song,Led Zeppelin,11.21.70,1612 Wks,01.30.71,13
4,Black Dog,Led Zeppelin,12.25.71,1512 Wks,02.12.72,12
5,Over The Hills And Far Away,Led Zeppelin,06.23.73,5112 Wks,07.28.73,8
6,Rock And Roll,Led Zeppelin,03.18.72,4712 Wks,04.15.72,7
7,Trampled Under Foot,Led Zeppelin,04.19.75,3812 Wks,05.17.75,7
8,Living Loving Maid (She's Just A Woman),Led Zeppelin,03.14.70,6512 Wks,04.04.70,5
9,Good Times Bad Times,Led Zeppelin,03.29.69,8012 Wks,04.19.69,4
