,title,author,release_date,peak_weeks,peak_date,total_weeks
0,Start Me Up,The Rolling Stones,08.22.81,212 Wks,10.31.81,24
1,Miss You,The Rolling Stones,05.27.78,11 WKS,08.05.78,20
2,Emotional Rescue,The Rolling Stones,07.05.80,312 Wks,09.06.80,19
3,Angie,The Rolling Stones,09.08.73,11 WKS,10.20.73,16
4,Honky Tonk Women,The Rolling Stones,07.19.69,14 WKS,08.23.69,15
5,Waiting On A Friend,The Rolling Stones,12.05.81,1312 Wks,02.06.82,15
6,Out Of Tears,The Rolling Stones,10.15.94,6012 Wks,11.26.94,15
7,Undercover Of The Night,The Rolling Stones,11.12.83,912 Wks,12.24.83,14
8,(I Can't Get No) Satisfaction,The Rolling Stones,06.12.65,14 WKS,07.10.65,14
9,Rock And A Hard Place,The Rolling Stones,11.04.89,2312 Wks,12.23.89,14
10,Not Fade Away,The Rolling Stones,05.02.64,4812 Wks,07.18.64,13
11,Time Is On My Side,The Rolling Stones,10.17.64,612 Wks,12.05.64,13
12,She's So Cold,The Rolling Stones,09.27.80,2612 Wks,11.08.80,13
13,Beast Of Burden,The Rolling Stones,09.09.78,812 Wks,11.11.78,13
14,Harlem Shuffle,The Rolling Stones,03.15.86,512 Wks,05.03.86,13
15,Mixed Emotions,The Rolling Stones,09.02.89,512 Wks,10.14.89,12
16,Jumpin' Jack Flash,The Rolling Stones,06.08.68,312 Wks,07.06.68,12
17,Ruby Tuesday,The Rolling Stones,01.21.67,11 WKS,03.04.67,12
18,Get Off Of My Cloud,The Rolling Stones,10.09.65,12 WKS,11.06.65,12
19,Brown Sugar,The Rolling Stones,05.01.71,12 WKS,05.29.71,12
20,Going To A Go-Go,The Rolling Stones,06.12.82,2512 Wks,07.17.82,11
21,One Hit (To The Body),The Rolling Stones,05.17.86,2812 Wks,06.28.86,11
22,"Paint It, Black",The Rolling Stones,05.14.66,12 WKS,06.11.66,11
23,Doo Doo Doo Doo Doo (heartbreaker),The Rolling Stones,01.12.74,1512 Wks,02.23.74,11
24,Hang Fire,The Rolling Stones,03.20.82,2012 Wks,05.08.82,11
25,Ain't Too Proud To Beg,The Rolling Stones,11.09.74,1712 Wks,12.14.74,10
26,It's Only Rock 'N Roll (But I Like It),The Rolling Stones,08.03.74,1612 Wks,09.21.74,10
27,The Last Time,The Rolling Stones,03.27.65,912 Wks,05.01.65,10
28,Shattered,The Rolling Stones,12.16.78,3112 Wks,02.03.79,10
29,Tumbling Dice,The Rolling Stones,04.29.72,712 Wks,05.27.72,10
30,Tell Me (You're Coming Back),The Rolling Stones,07.04.64,2412 Wks,08.08.64,10
31,It's All Over Now,The Rolling Stones,07.25.64,2612 Wks,09.19.64,10
32,19th Nervous Breakdown,The Rolling Stones,02.26.66,212 Wks,03.19.66,10
33,Mothers Little Helper,The Rolling Stones,07.09.66,812 Wks,08.13.66,9
34,Heart Of Stone,The Rolling Stones,01.09.65,1912 Wks,02.20.65,9
35,She Was Hot,The Rolling Stones,02.04.84,4412 Wks,03.03.84,9
36,Almost Hear You Sigh,The Rolling Stones,02.10.90,5012 Wks,03.10.90,9
37,As Tears Go By,The Rolling Stones,12.25.65,612 Wks,01.29.66,9
38,Fool To Cry,The Rolling Stones,04.24.76,1012 Wks,06.05.76,9
39,Wild Horses,The Rolling Stones,06.19.71,2812 Wks,07.24.71,8
40,You Can't Always Get What You Want,The Rolling Stones,04.28.73,4212 Wks,06.09.73,8
41,Dandelion,The Rolling Stones,09.09.67,1412 Wks,10.14.67,8
42,Let's Spend The Night Together,The Rolling Stones,01.21.67,5512 Wks,03.04.67,8
43,Happy,The Rolling Stones,07.15.72,2212 Wks,08.19.72,8
44,She's A Rainbow,The Rolling Stones,12.30.67,2512 Wks,01.27.68,7
45,"Have You Seen Your Mother, Baby, Standing In The Shadow?",The Rolling Stones,10.08.66,912 Wks,10.29.66,7
46,Highwire,The Rolling Stones,03.09.91,5712 Wks,03.30.91,7
47,Hot Stuff/fool To Cry,The Rolling Stones,06.26.76,4912 Wks,07.17.76,6
48,Street Fighting Man,The Rolling Stones,09.07.68,4812 Wks,10.05.68,6
49,I Don't Know Why,The Rolling Stones,06.14.75,4212 Wks,07.12.75,6
50,Lady Jane,The Rolling Stones,07.23.66,2412 Wks,08.13.66,6
51,We Love You,The Rolling Stones,09.16.67,5012 Wks,10.07.67,6
52,Love Is Strong,The Rolling Stones,08.13.94,9112 Wks,09.03.94,5
53,Saint Of Me,The Rolling Stones,03.07.98,9412 Wks,03.07.98,4
54,Out Of Time,The Rolling Stones,08.23.75,8112 Wks,09.06.75,3
55,Sympathy For The Devil (Remixes),The Rolling Stones,10.04.03,9712 Wks,10.04.03,1
56,Play With Fire,The Rolling Stones,05.22.65,9612 Wks,05.22.65,1
