,artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Album_Name
0,The Rolling Stones,Concert Intro Music - Live,2IEkywLJ4ykbhi1yRQvmsT,0.463,0.993,1,-12.913,1,0.11,0.996,0.932,0.0302,118.001,48640,4,Licked Live In NYC
1,The Rolling Stones,Street Fighting Man - Live,6GVgVJBKkGJoRfarYRvGTU,0.326,0.965,11,-4.803,1,0.0759,0.233,0.961,0.318,131.455,253173,4,Licked Live In NYC
2,The Rolling Stones,Start Me Up - Live,1Lu761pZ0dBTGpzxaQoZNW,0.386,0.969,5,-4.936,1,0.115,0.4,0.956,0.313,130.066,263160,4,Licked Live In NYC
3,The Rolling Stones,If You Can't Rock Me - Live,1agTQzOTUnGNggyckEqiDH,0.369,0.985,0,-5.535,1,0.193,0.000107,0.895,0.147,132.994,305880,4,Licked Live In NYC
4,The Rolling Stones,Don’t Stop - Live,7piGJR8YndQBQWVXv6KtQw,0.303,0.969,9,-5.098,1,0.093,0.0559,0.966,0.206,130.533,305107,4,Licked Live In NYC
5,The Rolling Stones,Monkey Man - Live,3ixZ1NQk5sqvBZgWeIdiqr,0.34,0.956,6,-5.539,1,0.0915,0.125,0.741,0.125,101.628,244293,4,Licked Live In NYC
6,The Rolling Stones,Angie - Live,3R1Vq1RS6mWNSD2oni6jNf,0.262,0.81,0,-6.851,1,0.0969,2.76E-06,0.972,0.394,77.52,245507,4,Licked Live In NYC
7,The Rolling Stones,Let It Bleed - Live,0TGmW5dvuocb0QUMPsj31R,0.413,0.971,0,-5.509,1,0.0873,0.000267,0.993,0.484,128.958,313587,4,Licked Live In NYC
8,The Rolling Stones,Midnight Rambler - Live,643LFQHx7UKat9u6UlwPBr,0.268,0.942,11,-6.018,0,0.119,0.0408,0.959,0.285,139.452,781173,4,Licked Live In NYC
9,The Rolling Stones,Tumbling Dice - Live,5NMRgeO81hNY5nEEY54XtK,0.31,0.944,11,-5.074,1,0.128,0.0752,0.974,0.188,119.782,333413,4,Licked Live In NYC
10,The Rolling Stones,Band Introductions - Live,06KxbhUQxW94BdHvjjvQzp,0.262,0.939,4,-9.269,0,0.222,0.00952,0.936,0.0317,79.42,284427,3,Licked Live In NYC
11,The Rolling Stones,Thru And Thru - Live,1rXa5covpujMsZPzOadZRr,0.278,0.651,9,-7.024,1,0.0553,0.000425,0.893,0.334,95.853,432360,4,Licked Live In NYC
12,The Rolling Stones,Happy - Live,0qr1oRKbG1EazVFjNGd1Li,0.322,0.947,2,-4.12,1,0.0602,0.163,0.955,0.498,136.149,222560,4,Licked Live In NYC
13,The Rolling Stones,Gimme Shelter - Live,3Dv8Lmpi2bWyOdyfwVjlTw,0.36,0.98,1,-5.104,0,0.104,0.00219,0.98,0.136,119.779,430427,4,Licked Live In NYC
14,The Rolling Stones,You Got Me Rocking - Live,2aN5Ar91xvFAEdpeDPr65b,0.388,0.974,7,-4.982,1,0.0974,0.0955,0.966,0.166,128.486,227547,4,Licked Live In NYC
15,The Rolling Stones,Can't You Hear Me Knocking - Live,2hyGhUTLHq3M5xquWrkN8s,0.401,0.921,9,-5.664,0,0.0517,0.0366,0.976,0.734,144.848,667987,4,Licked Live In NYC
16,The Rolling Stones,Honky Tonk Women - Live,3na0tUgyURnbyXe6qsO8S3,0.401,0.94,7,-4.858,1,0.0928,0.00183,0.937,0.342,112.304,301107,4,Licked Live In NYC
17,The Rolling Stones,Satisfaction - Live,6oM2I8fqyXxIRaZVJ7qPRg,0.256,0.979,9,-4.472,1,0.0906,0.309,0.969,0.24,142.464,371133,4,Licked Live In NYC
18,The Rolling Stones,It's Only Rock 'N' Roll - Live,1Wkbdv5UDv3slS34WWJOAN,0.378,0.986,4,-5.232,1,0.0833,0.621,0.971,0.436,140.253,303960,4,Licked Live In NYC
19,The Rolling Stones,When The Whip Comes Down - Live,4hTRileyEpgtFpZ64mYXkp,0.292,0.986,2,-5.827,1,0.131,0.282,0.975,0.179,149.383,291093,4,Licked Live In NYC
20,The Rolling Stones,Brown Sugar - Live,2JMQKVRanp4auj0hGkw3GE,0.34,0.989,0,-4.734,1,0.108,0.722,0.982,0.164,139.361,337600,4,Licked Live In NYC
21,The Rolling Stones,Sympathy For The Devil - Live,183DVZGxd5Nw5ia0Tv8KOF,0.447,0.979,9,-4.942,1,0.114,2.17E-05,0.953,0.295,109.191,409467,4,Licked Live In NYC
22,The Rolling Stones,Jumpin Jack Flash - Live,7p0sTErcMXc1jJ2Ff4QlcT,0.192,0.964,4,-4.264,1,0.0609,0.538,0.968,0.191,138.005,370733,4,Licked Live In NYC
23,The Rolling Stones,Honky Tonk Women - Live At The El Mocambo 1977,7BPKw4y2CX3waC8IQnQDXB,0.43,0.901,0,-6.215,1,0.045,0.011,0.694,0.89,112.077,216547,4,Live At The El Mocambo
24,The Rolling Stones,All Down The Line - Live At The El Mocambo 1977,7nQvrUDwdrskdM1Qeqf438,0.245,0.965,0,-5.153,1,0.0828,0.0547,0.95,0.697,157.346,252640,4,Live At The El Mocambo
25,The Rolling Stones,Hand Of Fate - Live At The El Mocambo 1977,5L0g7jbPjo97KtsrYM3ep0,0.477,0.899,0,-6.189,1,0.0425,0.0376,0.727,0.805,129.991,267867,4,Live At The El Mocambo
26,The Rolling Stones,Route 66 - Live At The El Mocambo 1977,0lJqBJWvI7k5l5eFLbbF8O,0.473,0.923,4,-6.204,0,0.0791,0.00157,0.722,0.792,144.625,193653,4,Live At The El Mocambo
27,The Rolling Stones,Fool To Cry - Live At The El Mocambo 1977,4ORw1k0PzLvF4F8BybMLma,0.331,0.692,5,-7.105,1,0.045,0.0143,0.889,0.512,76.21,297387,4,Live At The El Mocambo
28,The Rolling Stones,Crazy Mama - Live At The El Mocambo 1977,0eumG7lbsUdmmIDr5VOSSC,0.447,0.883,11,-6.266,0,0.0371,0.00554,0.726,0.556,117.604,299213,4,Live At The El Mocambo
29,The Rolling Stones,Mannish Boy - Live At The El Mocambo 1977,3xS9kCa3g4XXGatRVULzTz,0.272,0.76,2,-7.508,1,0.0526,0.00087,0.962,0.782,201.585,362867,3,Live At The El Mocambo
30,The Rolling Stones,Crackin’ Up - Live At The El Mocambo 1977,1TZos9kygOjAaHw8398LZi,0.594,0.801,7,-7.448,1,0.0277,0.103,0.699,0.925,105.572,254507,4,Live At The El Mocambo
31,The Rolling Stones,Dance Little Sister - Live At The El Mocambo 1977,7MBfVQ4f3qSGY7fTVX9HhM,0.311,0.912,9,-6.316,1,0.103,0.0426,0.851,0.713,154.192,292533,4,Live At The El Mocambo
32,The Rolling Stones,Around And Around - Live At The El Mocambo 1977,3obSrugIHUiznbg0NkEBJg,0.429,0.869,2,-7.467,1,0.042,0.00543,0.848,0.79,97.223,233200,4,Live At The El Mocambo
33,The Rolling Stones,Tumbling Dice - Live At The El Mocambo 1977,3MnDqaLZto9mE5GKbLaphc,0.45,0.842,10,-7.254,1,0.0343,0.0358,0.758,0.768,107.825,296227,4,Live At The El Mocambo
34,The Rolling Stones,Hot Stuff - Live At The El Mocambo 1977,7ch462Z5tNmLK4pbN2nIpT,0.497,0.914,2,-6.82,1,0.0487,0.181,0.753,0.791,110.005,328613,4,Live At The El Mocambo
35,The Rolling Stones,Star Star - Live At The El Mocambo 1977,6j7yZyys6FJOcPhDyBZHmI,0.251,0.926,9,-6.013,1,0.0997,0.0661,0.901,0.767,155.776,264493,4,Live At The El Mocambo
36,The Rolling Stones,Let's Spend The Night Together - Live At The El Mocambo 1977,2w2ZqPMmPAmtjQnEhTsNHP,0.37,0.89,9,-6.004,1,0.0408,0.000808,0.7,0.723,78.472,228253,3,Live At The El Mocambo
