,title,author,release_date,peak_weeks,peak_date,total_weeks
0,Twist And Shout,The Beatles,03.14.64,212 Wks,04.04.64,26
1,Hey Jude,The Beatles,09.14.68,19 WKS,09.28.68,19
2,Got To Get You Into My Life,The Beatles,06.12.76,712 Wks,07.24.76,16
3,Come Together/Something,The Beatles,10.18.69,11 WKS,11.29.69,16
4,I Want To Hold Your Hand,The Beatles,01.18.64,17 WKS,02.01.64,15
5,She Loves You,The Beatles,01.25.64,12 WKS,03.21.64,15
6,Let It Be,The Beatles,03.21.70,12 WKS,04.11.70,14
7,Love Me Do,The Beatles,04.11.64,11 WKS,05.30.64,14
8,Help!,The Beatles,08.07.65,13 WKS,09.04.65,13
9,A Hard Day's Night,The Beatles,07.18.64,12 WKS,08.01.64,13
10,Please Please Me,The Beatles,02.01.64,312 Wks,03.14.64,13
11,We Can Work It Out,The Beatles,12.18.65,13 WKS,01.08.66,12
12,Get Back,The Beatles With Billy Preston,05.10.69,15 WKS,05.24.69,12
13,Revolution,The Beatles,09.14.68,1212 Wks,09.21.68,11
14,All You Need Is Love,The Beatles,07.22.67,11 WKS,08.19.67,11
15,Yesterday,The Beatles,09.25.65,14 WKS,10.09.65,11
16,Do You Want To Know A Secret,The Beatles,03.28.64,212 Wks,05.09.64,11
17,Ticket To Ride,The Beatles,04.24.65,11 WKS,05.22.65,11
18,The Beatles' Movie Medley,The Beatles,03.27.82,1212 Wks,05.08.82,11
19,Hello Goodbye,The Beatles,12.02.67,13 WKS,12.30.67,11
20,Free As A Bird,The Beatles,12.30.95,612 Wks,01.06.96,11
21,I Saw Her Standing There,The Beatles,02.08.64,1412 Wks,03.21.64,11
22,I Feel Fine,The Beatles,12.05.64,13 WKS,12.26.64,11
23,Lady Madonna,The Beatles,03.23.68,412 Wks,04.20.68,11
24,Day Tripper,The Beatles,12.18.65,512 Wks,01.22.66,10
25,The Long And Winding Road/For You Blue,The Beatles,05.23.70,12 WKS,06.13.70,10
26,Penny Lane,The Beatles,02.25.67,11 WKS,03.18.67,10
27,Can't Buy Me Love,The Beatles,03.28.64,15 WKS,04.04.64,10
28,Paperback Writer,The Beatles,06.11.66,12 WKS,06.25.66,10
29,Eight Days A Week,The Beatles,02.20.65,12 WKS,03.13.65,10
30,Ain't She Sweet,The Beatles,07.18.64,1912 Wks,08.22.64,9
31,The Ballad Of John And Yoko,The Beatles,06.14.69,812 Wks,07.12.69,9
32,Nowhere Man,The Beatles,03.05.66,312 Wks,03.26.66,9
33,And I Love Her,The Beatles,07.25.64,1212 Wks,09.05.64,9
34,Strawberry Fields Forever,The Beatles,02.25.67,812 Wks,04.01.67,9
35,If I Fell,The Beatles,08.01.64,5312 Wks,09.05.64,9
36,She's A Woman,The Beatles,12.05.64,412 Wks,12.26.64,9
37,Yellow Submarine,The Beatles,08.20.66,212 Wks,09.17.66,9
38,Matchbox,The Beatles,09.05.64,1712 Wks,10.17.64,8
39,Ringo's Theme (This Boy),George Martin And His Orch.,07.25.64,5312 Wks,09.12.64,8
40,P.S. I Love You,The Beatles,05.09.64,1012 Wks,06.06.64,8
41,Eleanor Rigby,The Beatles,08.27.66,1112 Wks,09.24.66,8
42,Real Love,The Beatles,03.23.96,1112 Wks,03.23.96,7
43,"Ob-la-di, Ob-la-da",The Beatles,11.20.76,4912 Wks,12.11.76,7
44,Act Naturally,The Beatles,09.25.65,4712 Wks,10.23.65,7
45,I'll Cry Instead,The Beatles,08.01.64,2512 Wks,08.29.64,7
46,Rain,The Beatles,06.11.66,2312 Wks,07.09.66,7
47,Sgt. Pepper's Lonely Hearts Club Band/With A Little Help From My Friends,The Beatles,09.16.78,7112 Wks,09.30.78,7
48,Slow Down,The Beatles,09.05.64,2512 Wks,10.10.64,7
49,Thank You Girl,The Beatles,04.04.64,3512 Wks,05.09.64,7
50,My Bonnie (My Bonnie Lies Over The Ocean),The Beatles With Tony Sheridan,02.15.64,2612 Wks,03.14.64,6
51,From Me To You,The Beatles,03.07.64,4112 Wks,04.04.64,6
52,I Don't Want To Spoil The Party,The Beatles,02.20.65,3912 Wks,03.20.65,6
53,Something,The Beatles,10.18.69,312 Wks,11.15.69,6
54,All My Loving,The Beatles,03.28.64,4512 Wks,04.25.64,6
55,4 - By The Beatles,The Beatles,02.27.65,6812 Wks,03.27.65,5
56,Baby You're A Rich Man,The Beatles,07.29.67,3412 Wks,08.12.67,5
57,Don't Let Me Down,The Beatles With Billy Preston,05.10.69,3512 Wks,05.24.69,4
58,Roll Over Beethoven,The Beatles,03.21.64,6812 Wks,04.04.64,4
59,I Am The Walrus,The Beatles,12.09.67,5612 Wks,12.23.67,4
60,I Should Have Known Better,The Beatles,07.25.64,5312 Wks,08.15.64,4
61,You Can't Do That,The Beatles,04.04.64,4812 Wks,04.11.64,4
62,Yes It Is,The Beatles,05.01.65,4612 Wks,05.15.65,4
63,Baby It's You,The Beatles,04.22.95,6712 Wks,04.22.95,4
64,Four By The Beatles,The Beatles,06.13.64,9212 Wks,06.27.64,3
65,What Goes On,The Beatles,03.12.66,8112 Wks,03.19.66,2
66,There's A Place,The Beatles,04.11.64,7412 Wks,04.11.64,1
67,Sie Liebt Dich (She Loves You),Die Beatles,06.27.64,9712 Wks,06.27.64,1
68,I'm Happy Just To Dance With You,The Beatles,08.01.64,9512 Wks,08.01.64,1
69,Why,The Beatles With Tony Sheridan,04.18.64,8812 Wks,04.18.64,1
70,The Inner Light,The Beatles,03.30.68,9612 Wks,03.30.68,1
