,artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Album_Name
0,The Beatles,Get Back - Rooftop Performance / Take 1,4bVT9bpThKnkFtl1xeB2bh,0.628,0.524,2,-11.84,1,0.0773,0.0995,0.195,0.272,124.176,283373,4,Get Back (Rooftop Performance)
1,The Beatles,Get Back - Rooftop Performance / Take 2,4z3RNAUb0whdaLAudM9EHE,0.655,0.695,9,-9.648,1,0.0381,0.436,0.105,0.33,125.572,204187,4,Get Back (Rooftop Performance)
2,The Beatles,Don't Let Me Down - Rooftop Performance / Take 1,6Wjbtcnv4Yw92luvE1Y8tW,0.592,0.513,6,-8.778,0,0.0322,0.00017,0.182,0.744,81.92,202467,4,Get Back (Rooftop Performance)
3,The Beatles,I've Got A Feeling - Rooftop Performance / Take 1,06rGbrn3Vhp6CeByhZboOT,0.392,0.629,2,-11.235,1,0.172,0.00699,0.0847,0.352,165.416,283720,4,Get Back (Rooftop Performance)
4,The Beatles,One After 909 - Rooftop Performance,4MBeqWnCdIMcEexCNbNqRt,0.521,0.87,4,-8.985,1,0.237,1.80E-06,0.622,0.723,90.474,189200,4,Get Back (Rooftop Performance)
5,The Beatles,Dig A Pony - Rooftop Performance,1miMoESDA7rXcNIyiiTeaF,0.49,0.373,11,-12.993,0,0.0574,4.01E-05,0.117,0.346,116.556,352040,3,Get Back (Rooftop Performance)
6,The Beatles,God Save The Queen - Rooftop Performance / Jam,1fTdIA3TNmiVzWaep1BJ7e,0.676,0.389,7,-9.622,1,0.0988,0.192,0.0482,0.898,132.388,25760,4,Get Back (Rooftop Performance)
7,The Beatles,I've Got A Feeling - Rooftop Performance / Take 2,51SAMQm9TKtfQnfLR0ORy4,0.521,0.532,9,-11.183,1,0.0964,0.00866,0.234,0.313,81.332,335133,4,Get Back (Rooftop Performance)
8,The Beatles,Don't Let Me Down - Rooftop Performance / Take 2,1DXRq9lDPvNqujisRKR6VA,0.548,0.489,6,-10.463,0,0.0468,0.000826,0.328,0.605,81.846,209587,4,Get Back (Rooftop Performance)
9,The Beatles,Get Back - Rooftop Performance / Take 3,1W0V3qwghnFsm6DqzwtQ3w,0.617,0.633,2,-11.507,1,0.0819,0.194,0.116,0.315,126.059,226587,4,Get Back (Rooftop Performance)
10,The Beatles,Two Of Us - 2021 Mix,2CEujT1Tuv3jIIjUyUvupg,0.692,0.756,7,-9.677,1,0.0402,8.80E-05,0.219,0.826,109.111,216480,4,Let It Be (Super Deluxe)
11,The Beatles,Dig A Pony - 2021 Mix,5pbQlOzqzTacF4wbzmWEeA,0.461,0.5,11,-8.023,0,0.0478,9.94E-06,0.209,0.393,118.377,234760,3,Let It Be (Super Deluxe)
12,The Beatles,Across The Universe - 2021 Mix,47q5q2VZ0y264CNDdUAjZY,0.414,0.467,1,-9.189,1,0.027,2.28E-05,0.0779,0.752,76.148,228093,4,Let It Be (Super Deluxe)
13,The Beatles,I Me Mine - 2021 Mix,5sFSXKwsf1KvKpZngwVtlI,0.423,0.587,4,-8.14,0,0.0415,0,0.118,0.575,128.47,145053,4,Let It Be (Super Deluxe)
14,The Beatles,Dig It - 2021 Mix,211vMasdcN1n4Xy4ci76Eq,0.519,0.564,5,-9.868,1,0.0742,0.00486,0.273,0.795,155.067,50653,3,Let It Be (Super Deluxe)
15,The Beatles,Let It Be - 2021 Mix,4r797jYkY09ilTg5SMCTnu,0.407,0.413,0,-8.129,1,0.0302,4.49E-06,0.107,0.556,144.338,243173,4,Let It Be (Super Deluxe)
16,The Beatles,Maggie Mae - 2021 Mix,6A0igdiVHc0Tftp9jDb5UU,0.525,0.627,7,-8.052,1,0.237,0,0.124,0.76,169.081,40213,4,Let It Be (Super Deluxe)
17,The Beatles,I've Got A Feeling - 2021 Mix,4zCMgTJ4h916qOHgu1JyAL,0.413,0.722,2,-7.463,1,0.0468,6.04E-06,0.151,0.382,165.614,217547,4,Let It Be (Super Deluxe)
18,The Beatles,One After 909 - 2021 Mix,6z5yUc4pks98Lo6YaMraq0,0.545,0.956,4,-5.549,1,0.116,0,0.63,0.776,90.782,174013,4,Let It Be (Super Deluxe)
19,The Beatles,The Long And Winding Road - 2021 Mix,4r1AmkTzmi35mAFc3nsG3r,0.314,0.379,3,-10.028,1,0.0271,0.00202,0.0852,0.319,66.436,217600,4,Let It Be (Super Deluxe)
20,The Beatles,For You Blue - 2021 Mix,0CnmMTr6dpvnPUANh3rUOw,0.854,0.605,2,-10.995,1,0.084,0.0789,0.274,0.929,128.317,152533,4,Let It Be (Super Deluxe)
21,The Beatles,Get Back - 2021 Mix,47qD4mGcc6cS4PbkvoIcy9,0.734,0.656,2,-10.443,1,0.0789,0.0029,0.665,0.366,123.091,188267,4,Let It Be (Super Deluxe)
22,The Beatles,Morning Camera / Two Of Us - Take 4,05wq8YTQE3UDL8yd9R79c7,0.718,0.671,7,-10.5,1,0.047,0.000611,0.352,0.762,107.858,222280,4,Let It Be (Super Deluxe)
23,The Beatles,Maggie Mae / Fancy My Chances With You - Mono,2rnSCXAsw7pU1dmHkm1XpD,0.622,0.544,7,-7.59,1,0.071,0,0.101,,107.59,58400,4,Let It Be (Super Deluxe)
24,The Beatles,Can You Dig It?,51g1inQV6DC4WZWlGXeFHs,0.635,0.864,7,-7.495,1,0.0833,6.43E-06,0.362,0.717,141.355,122360,4,Let It Be (Super Deluxe)
25,The Beatles,I Don't Know Why I'm Moaning - Speech / Mono,482dVVEHxiwirUwW4VjS3s,0.582,0.457,2,-14.507,1,0.322,0,0.0771,0.488,113.374,82013,4,Let It Be (Super Deluxe)
26,The Beatles,For You Blue - Take 4,0CVEWNpT3fHxcMPRG3cM2f,0.709,0.809,2,-9.73,1,0.099,0.0222,0.216,0.784,127.789,172947,4,Let It Be (Super Deluxe)
27,The Beatles,Let It Be / Please Please Me / Let It Be - Take 10,15tcqNCx9skvXmmlscpAjF,0.494,0.424,0,-10.874,1,0.0646,4.76E-05,0.132,0.481,142.038,272680,4,Let It Be (Super Deluxe)
28,The Beatles,I’ve Got A Feeling - Take 10,6ru78BV9iww37EeTAVd364,0.399,0.622,2,-7.628,1,0.0358,0.00263,0.119,0.306,81.095,217680,4,Let It Be (Super Deluxe)
29,The Beatles,Dig A Pony - Take 14,77LP0NB3rR3g43giL2mGAG,0.53,0.399,11,-8.978,0,0.0702,7.58E-06,0.232,0.376,118.441,241440,3,Let It Be (Super Deluxe)
30,The Beatles,Get Back - Take 19,2gYbUpAJ4VW8N0YNZJrn6X,0.74,0.619,2,-10.737,1,0.0672,0.0385,0.0634,0.633,121.379,237360,4,Let It Be (Super Deluxe)
31,The Beatles,Like Making An Album? - Speech,5i5ccBcPuzKF5T6LLhM22K,0.62,0.18,7,-18.793,1,0.562,0,0.134,0.641,71.469,42560,3,Let It Be (Super Deluxe)
32,The Beatles,One After 909 - Take 3,4SxEh486t821JJniUtyNGf,0.293,0.891,4,-7.324,1,0.19,0,0.268,0.706,163.566,207173,4,Let It Be (Super Deluxe)
33,The Beatles,Don’t Let Me Down - First Rooftop Performance,40XeGNGFchGYw7y0ue1GiG,0.455,0.502,4,-7.539,1,0.0493,0.000156,0.094,0.674,163.347,209453,4,Let It Be (Super Deluxe)
