,title,author,release_date,peak_weeks,peak_date,total_weeks
0,Knockin' On Heaven's Door,Bob Dylan,09.01.73,1212 Wks,10.27.73,16
1,Lay Lady Lay,Bob Dylan,07.12.69,712 Wks,09.06.69,14
2,Like A Rolling Stone,Bob Dylan,07.24.65,212 Wks,09.04.65,12
3,Gotta Serve Somebody,Bob Dylan,09.08.79,2412 Wks,11.03.79,12
4,Hurricane (Part 1),Bob Dylan,11.29.75,3312 Wks,01.10.76,11
5,Rainy Day Women #12 & 35,Bob Dylan,04.16.66,212 Wks,05.21.66,10
6,Sweetheart Like You,Bob Dylan,12.17.83,5512 Wks,01.28.84,9
7,Positively 4th Street,Bob Dylan,10.02.65,712 Wks,11.06.65,9
8,George Jackson,Bob Dylan,12.04.71,3312 Wks,01.08.72,8
9,Subterranean Homesick Blues,Bob Dylan,04.03.65,3912 Wks,05.15.65,8
10,Watching The River Flow,Bob Dylan,06.26.71,4112 Wks,08.07.71,8
11,Wigwam,Bob Dylan,07.25.70,4112 Wks,08.15.70,7
12,I Want You,Bob Dylan,07.02.66,2012 Wks,07.30.66,7
13,Tonight I'll Be Staying Here With You,Bob Dylan,11.01.69,5012 Wks,11.29.69,7
14,A Fool Such As I,Bob Dylan,12.15.73,5512 Wks,01.12.74,7
15,Tangled Up In Blue,Bob Dylan,03.08.75,3112 Wks,04.05.75,7
16,On A Night Like This,Bob Dylan,02.23.74,4412 Wks,03.23.74,6
17,Can You Please Crawl Out Your Window?,Bob Dylan,01.01.66,5812 Wks,01.29.66,6
18,Just Like A Woman,Bob Dylan,09.10.66,3312 Wks,10.08.66,6
19,Most Likely You Go Your Way (And I'll Go Mine),Bob Dylan/The Band,08.10.74,6612 Wks,08.31.74,5
20,I Threw It All Away,Bob Dylan,05.17.69,8512 Wks,06.07.69,5
21,Mozambique,Bob Dylan,03.13.76,5412 Wks,04.10.76,5
22,Leopard-Skin Pill-Box Hat,Bob Dylan,05.20.67,8112 Wks,06.03.67,4
