,artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Album_Name
0,Bob Dylan,Angelina - Shot of Love Outtake,476BsUN5YAHiukvFeVEE3y,0.573,0.435,1,-8.291,1,0.03,0,0.048,0.334,125.898,401000,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
1,Bob Dylan,Need a Woman - Rehearsal,6PrNNiCMnSuFm3DvoRmQyv,0.587,0.781,9,-6.104,1,0.0381,0,0.153,0.472,84.375,311427,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
2,Bob Dylan,Let's Keep It Between Us - Rehearsal,7sPhPWYsDucfHx187GGm4P,0.375,0.401,3,-11.169,1,0.0536,1.58E-06,0.0863,0.389,180.276,315053,3,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
3,Bob Dylan,Price of Love - Shot of Love Outtake,4Uh0czIqPGfpZkpJBhGs9W,0.618,0.861,2,-6.134,1,0.0781,1.76E-05,0.0435,0.562,103.189,255373,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
4,Bob Dylan,Don't Ever Take Yourself Away - Shot of Love Outtake,553fjqisPmtCQFE6BCYIie,0.818,0.466,0,-10.949,1,0.0414,0,0.0611,0.685,134.525,249160,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
5,Bob Dylan,Fur Slippers - Shot of Love Outtake,33mRNYsRLf75DuzXTE77uv,0.677,0.266,9,-11.259,1,0.0303,0.0027,0.143,0.548,80.602,168747,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
6,Bob Dylan,"Yes Sir, No Sir - Shot of Love Outtake",20vwNovue4fUi07exBGNmg,0.425,0.843,9,-7.892,0,0.0431,0.00672,0.498,0.73,118.061,142707,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
7,Bob Dylan,Jokerman - Infidels Alternate Take,6IpPWsJ6xapHxLQpecQmhu,0.639,0.784,10,-6.63,1,0.0675,9.32E-06,0.133,,134.793,371933,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
8,Bob Dylan,Lord Protect My Child - Infidels Outtake,5XMFICY91mum3XJ203npAn,0.699,0.311,7,-10.118,1,0.0342,0.00169,0.0875,0.462,118.127,257627,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
9,Bob Dylan,Blind Willie McTell - Take 5 - Infidels Outtake,6FrStqcElUZ1b1dE1iCMqw,0.514,0.444,1,-8.784,1,0.0389,2.10E-06,0.305,0.483,107.482,266187,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
10,Bob Dylan,Don't Fall Apart on Me Tonight (Version 2) - Infidels Alternate Take,652YryzvyMG11WTrpB2CRj,0.48,0.613,0,-8.182,1,0.0446,1.70E-06,0.316,0.584,175.177,328773,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
11,Bob Dylan,Neighborhood Bully - Infidels Alternate Take,5IsFzJWi5tcXafkzuMBRY9,0.75,0.909,9,-7.447,1,0.0422,0,0.101,0.939,126.655,251147,4,"Springtime in New York: The Bootleg Series, Vol. 16 / 1980-1985"
