,artist,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Album_Name
0,Led Zeppelin,You Shook Me - 23/3/69 Top Gear; Remaster,4AIJz1t4ysqOT1c5BLSRQQ,0.414,0.49,4,-8.576,1,0.0545,0.0999,0.472,0.67,130.761,314013,3,The Complete BBC Sessions (Remastered)
1,Led Zeppelin,I Can't Quit You Baby - 23/3/69 Top Gear;Remaster,5QRD5sNh0aaWMyjTzQ0QIn,0.411,0.442,2,-12.276,1,0.262,0.0266,0.198,0.367,145.973,263627,3,The Complete BBC Sessions (Remastered)
2,Led Zeppelin,Communication Breakdown - Live on Tasty Pop Sundae from BBC Sessions;Remaster,0RR8wuHHc5NqSFxhPDDBNV,0.367,0.779,9,-8.334,1,0.0488,0.00708,0.288,0.794,90.354,191827,4,The Complete BBC Sessions (Remastered)
3,Led Zeppelin,Dazed and Confused - 3/23/69 Top Gear;Remaster,3vDA1z8UmHtVLQV7McvhEj,0.303,0.571,11,-11.521,0,0.0958,0.0757,0.114,0.422,152.001,399587,3,The Complete BBC Sessions (Remastered)
4,Led Zeppelin,The Girl I Love She Got Long Black Wavy Hair - Live on Tasty Pop Sundae from BBC Sessions;Remaster,7ecVrUYlhj6OrKTAK0oDzo,0.264,0.609,9,-10.992,0,0.0655,0.311,0.322,0.862,185.875,183227,4,The Complete BBC Sessions (Remastered)
5,Led Zeppelin,What Is and What Should Never Be - 29/6/69 Top Gear;Remaster,7oI0UewzZ7PS0ljPxDqh5g,0.304,0.559,9,-9.793,1,0.0403,0.000149,0.134,0.618,82.927,260013,4,The Complete BBC Sessions (Remastered)
6,Led Zeppelin,Communication Breakdown - 29/6/69 Top Gear;Remaster,2MoEFJIvt1huvOB16ggVVV,0.403,0.809,2,-7.658,1,0.0506,0.0371,0.799,0.779,91.323,160267,4,The Complete BBC Sessions (Remastered)
7,Led Zeppelin,Travelling Riverside Blues - 29/6/69 Top Gear;Remaster,5cWIRgigrzjTjDBNXQxhAR,0.476,0.78,7,-9.009,Major,0.0564,0.00308,0.26,0.634,91.609,310907,4,The Complete BBC Sessions (Remastered)
8,Led Zeppelin,Whole Lotta Love - 29/6/69 Top Gear;Remaster,03ybzRUwX9zWK69fSAAROH,0.332,0.742,9,-10.63,1,0.0917,0.188,0.106,0.55,87.335,370733,4,The Complete BBC Sessions (Remastered)
9,Led Zeppelin,Somethin' Else - Live on Tasty Pop Sundae from BBC Sessions;Remaster,4AX9BMMXAZmXKRmfLSYFVD,0.324,0.736,4,-9.1,1,0.0307,2.60E-05,0.344,0.85,156.903,126493,3,The Complete BBC Sessions (Remastered)
10,Led Zeppelin,Communication Breakdown - 10/8/69 Playhouse Theatre;Remaster,2mxCbflovI7X3GJqodNmQW,0.286,0.611,9,-10.579,1,0.0699,0.00657,0.658,0.841,184.027,184613,4,The Complete BBC Sessions (Remastered)
11,Led Zeppelin,I Can't Quit You Baby - 10/8/69 Playhouse Theatre;Remaster,2gJFReyGxkjBSGH7hTMMBW,0.426,0.446,2,-12.806,1,0.175,0.00827,0.702,0.502,141.418,380827,4,The Complete BBC Sessions (Remastered)
12,Led Zeppelin,You Shook Me - 10/8/69 Playhouse Theatre;Remaster,593pmTrKexLeNCihWPLV4G,0.384,0.623,9,-8.875,1,0.138,0.128,0.884,0.539,142.907,613547,3,The Complete BBC Sessions (Remastered)
13,Led Zeppelin,How Many More Times - 10/8/69 Playhouse Theatre;Remaster,01E0FRixFbsbB98fg4x6ev,0.379,0.358,9,-13.909,1,0.0641,0.00373,0.762,0.466,74.624,698280,4,The Complete BBC Sessions (Remastered)
14,Led Zeppelin,Immigrant Song - 1/4/71 Paris Theatre;Remaster,5X95UM2l8CHywHaYRDJPQs,0.28,0.873,6,-8.905,0,0.0897,7.27E-06,0.669,0.305,119.342,201280,4,The Complete BBC Sessions (Remastered)
15,Led Zeppelin,Heartbreaker - 1/4/71 Paris Theatre;Remaster,6QfmPnJkxdiF74BA17sADx,0.302,0.904,2,-8.686,1,0.0848,4.01E-05,0.871,0.475,114.196,315680,4,The Complete BBC Sessions (Remastered)
16,Led Zeppelin,Since I've Been Loving You - 1/4/71 Paris Theatre;Remaster,3ztOzed3fKKnQhjlSlt8zC,0.367,0.579,5,-10.782,0,0.0528,0.00846,0.967,0.369,128.277,416267,3,The Complete BBC Sessions (Remastered)
17,Led Zeppelin,Black Dog - 1/4/71 Paris Theatre;Remaster,1WjcnUqyx9Y3g6qkqQYUv8,0.333,0.904,2,-9.589,1,0.342,0.00874,0.928,0.512,84.278,317520,4,The Complete BBC Sessions (Remastered)
18,Led Zeppelin,Dazed and Confused - 1/4/71 Paris Theatre;Remaster,6n7AvsSb4TzPMHVger0qHw,0.326,0.521,2,-13.181,1,0.0742,0.265,0.765,0.141,131.846,1116613,4,The Complete BBC Sessions (Remastered)
19,Led Zeppelin,Stairway to Heaven - Live: 1/4/71 Paris Theatre;Remaster,5eDGkltiw0sZbi1LRhxb8j,0.314,0.442,7,-12.119,1,0.0565,0.00753,0.862,0.187,102.799,529373,4,The Complete BBC Sessions (Remastered)
20,Led Zeppelin,Going to California - Live 1/4/71 Paris Theatre;Remaster,7KfIcdv3NrWdomDqZWVnU3,0.386,0.292,2,-18.692,1,0.0393,0.00044,0.745,0.211,149.215,234667,4,The Complete BBC Sessions (Remastered)
21,Led Zeppelin,That's the Way - 1/4/71 Paris Theatre;Remaster,4U3jBsqRSepwtuxDXnUadz,0.448,0.367,7,-16.487,1,0.0683,0.000278,0.951,0.253,91.911,343320,4,The Complete BBC Sessions (Remastered)
22,Led Zeppelin,Whole Lotta Love (Medley) - 1/4/71 Paris Theatre;Remaster,1jD9o6FcboH4s9I9zqB74K,0.346,0.866,9,-9.741,1,0.0963,0.00021,0.949,0.365,100.027,825000,4,The Complete BBC Sessions (Remastered)
23,Led Zeppelin,Thank You - 1/4/71 Paris Theatre;Remaster,18W1RpWFGPD2wrobPz2SXX,0.156,0.446,7,-11.942,1,0.056,0.00475,0.962,0.148,167.426,399587,4,The Complete BBC Sessions (Remastered)
24,Led Zeppelin,Communication Breakdown - 23/3/69 Top Gear;Remaster,6tuK0GEmQvC1pLIvk9HLaw,0.306,0.726,9,-8.916,1,0.0542,0.0102,0.395,0.544,182.24,181427,4,The Complete BBC Sessions (Remastered)
25,Led Zeppelin,What Is and What Should Never Be - Live on Tasty Pop Sundae from BBC Sessions;Remaster,4OLYHNc5o3yZRVfJXtwpXC,0.321,0.497,11,-12.825,0,0.0707,4.22E-05,0.146,0.478,82.554,254787,3,The Complete BBC Sessions (Remastered)
26,Led Zeppelin,Dazed and Confused - 10/8/69 Playhouse Theatre;Remaster,2IW9BqnMx8S4Dt75l69Js0,0.356,0.611,2,-11.858,1,0.121,0.0253,0.952,0.387,109.504,668200,4,The Complete BBC Sessions (Remastered)
27,Led Zeppelin,White Summer - 10/8/69 Playhouse Theatre;Remaster,3H4iyihEybZnIuXCglL65U,0.492,0.26,7,-14.633,1,0.0501,0.0203,0.692,0.399,121.74,502453,3,The Complete BBC Sessions (Remastered)
28,Led Zeppelin,What Is and What Should Never Be - 1/4/71 Paris Theatre;Remaster,35PLOzghSxoafuqZtN2o6i,0.307,0.791,9,-10.062,1,0.383,2.62E-06,0.966,0.441,174.112,284440,4,The Complete BBC Sessions (Remastered)
29,Led Zeppelin,Communication Breakdown - 1/4/71 Paris Theatre;Remaster,3FxBYHESXWpyAsNvqBNBoV,0.298,0.701,9,-10.721,1,0.0701,0.000627,0.945,0.453,105.396,294893,4,The Complete BBC Sessions (Remastered)
30,Led Zeppelin,I Can't Quit You Baby - 14/4/69 Rhythm & Blues Session;Remaster,5yCdJ5dHefpBzP6jKm5zEb,0.364,0.65,9,-8.683,1,0.119,0.0982,0.361,0.705,141.318,326987,3,The Complete BBC Sessions (Remastered)
31,Led Zeppelin,You Shook Me - 14/4/69 Rhythm & Blues Session;Remaster,7FRe9xGRvw7Rg7cEMo8xeP,0.279,0.672,9,-9.037,1,0.0584,0.505,0.127,0.555,141.999,250440,3,The Complete BBC Sessions (Remastered)
32,Led Zeppelin,Sunshine Woman - Live on Rhythm and Blues from BBC Sessions; Remaster,0w6iHwbB6lNUiciodxp27F,0.378,0.944,7,-5.635,0,0.0734,0.67,0.169,0.771,99.421,188280,4,The Complete BBC Sessions (Remastered)
33,Led Zeppelin,Custard Pie - Remaster,2y0l7GpFGPLXjk9rrmzecj,0.453,0.738,9,-8.16,1,0.0347,0.00488,0.0526,0.778,182.233,255702,4,Physical Graffiti (Deluxe Edition)
34,Led Zeppelin,The Rover - Remaster,58pXcVpaKxmjViTw4ixYLa,0.618,0.769,9,-8.012,1,0.0248,0.00829,0.23,0.385,102.678,339475,4,Physical Graffiti (Deluxe Edition)
35,Led Zeppelin,In My Time of Dying - Remaster,2IS9AdXu3zWjY5FCslQyOa,0.348,0.865,2,-9.727,1,0.0625,0.00279,0.121,0.471,102.078,668441,4,Physical Graffiti (Deluxe Edition)
36,Led Zeppelin,Houses of the Holy - Remaster,2pkiN0XEcHm90sNjoWnEtv,0.632,0.849,9,-8.282,1,0.0351,0.0389,0.571,0.939,123.092,244686,4,Physical Graffiti (Deluxe Edition)
37,Led Zeppelin,Trampled Under Foot - Remaster,71mwBgYAlFsg4haHqODDbY,0.561,0.842,2,-7.518,0,0.0566,0.412,0.0768,0.843,111.209,336836,4,Physical Graffiti (Deluxe Edition)
38,Led Zeppelin,Kashmir - Remaster,5BvUhtcRa9uNJd30TgFUEA,0.483,0.615,2,-8.538,1,0.0497,0.000414,0.0512,0.594,80.576,517125,3,Physical Graffiti (Deluxe Edition)
39,Led Zeppelin,In the Light - Remaster,6hyGKUxCTD38yCvGKTnKvC,0.308,0.382,2,-10.722,1,0.0378,6.49E-05,0.0435,0.108,127.318,527947,4,Physical Graffiti (Deluxe Edition)
40,Led Zeppelin,Bron-Yr-Aur - Remaster,23goCwsEJKoyFMl0f1SU9n,0.34,0.287,0,-17.333,1,0.0374,0.562,0.0874,0.248,171.904,126561,4,Physical Graffiti (Deluxe Edition)
41,Led Zeppelin,Down by the Seaside - Remaster,0PNjhX1zjJnTc836yT9Y5R,0.395,0.491,0,-10.813,1,0.029,0.261,0.132,0.451,97.081,315507,4,Physical Graffiti (Deluxe Edition)
42,Led Zeppelin,Ten Years Gone - Remaster,7pmkcEoOF2DbsQfAY2wA71,0.545,0.416,2,-11.979,1,0.0433,0.00496,0.0369,0.295,76.872,394921,4,Physical Graffiti (Deluxe Edition)
43,Led Zeppelin,Night Flight - Remaster,2r8Nim4kXVp1XI6f0xBKCK,0.511,0.722,2,-9.625,1,0.0308,0.00808,0.057,0.541,100.292,218254,4,Physical Graffiti (Deluxe Edition)
