,title,author,release_date,peak_weeks,peak_date,total_weeks
0,What's Love Got To Do With It,Tina Turner,05.19.84,13 WKS,09.01.84,28
1,"I Don't Wanna Fight (From ""What's Love Got To Do With It"")",Tina Turner,05.29.93,912 Wks,08.14.93,24
2,Better Be Good To Me,Tina Turner,09.15.84,512 Wks,11.24.84,21
3,We Don't Need Another Hero (Thunderdome),Tina Turner,07.06.85,212 Wks,09.14.85,18
4,One Of The Living,Tina Turner,10.05.85,1512 Wks,11.23.85,18
5,Private Dancer,Tina Turner,01.19.85,712 Wks,03.23.85,18
6,Typical Male,Tina Turner,08.30.86,212 Wks,10.18.86,16
7,Let's Stay Together,Tina Turner,01.21.84,2612 Wks,03.24.84,15
8,It's Only Love,Bryan Adams/Tina Turner,11.23.85,1512 Wks,01.18.86,14
9,The Best,Tina Turner,09.02.89,1512 Wks,11.04.89,14
10,What You Get Is What You See,Tina Turner,02.07.87,1312 Wks,04.04.87,14
11,Two People,Tina Turner,11.22.86,3012 Wks,01.10.87,12
12,Steamy Windows,Tina Turner,11.25.89,3912 Wks,01.06.90,11
13,Show Some Respect,Tina Turner,04.20.85,3712 Wks,06.01.85,10
14,Missing You,Tina Turner,10.05.96,8412 Wks,11.02.96,9
15,Break Every Rule,Tina Turner,05.09.87,7412 Wks,05.23.87,5
16,River Deep-Mountain High,Ike & Tina Turner Featuring Tina,05.28.66,8812 Wks,06.18.66,4
17,Why Must We Wait Until Tonight,Tina Turner,10.23.93,9712 Wks,10.23.93,2
