,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Tina Turner,Foreign Affair,The Best,6pPWRBubXOBAHnjl5ZIujB,0.662,0.737,0,-9.54,1,0.0296,0.0191,0.119,0.744,103.867,329800,4
1,Tina Turner,Private Dancer (30th Anniversary Issue),What's Love Got to Do with It - 2015 Remaster,3ErsOxqe2RmXkR65wkygDz,0.855,0.48,1,-8.902,1,0.0588,2.16E-05,0.151,0.798,97.793,230240,4
2,Tina Turner,What's Love Got to Do with It?,Proud Mary,6gJdDnF2TzfA1WPMXuCa3x,0.397,0.499,2,-10.972,1,0.0685,1.55E-06,0.111,0.367,171.067,327400,4
3,Bryan Adams,Reckless (30th Anniversary / Deluxe Edition),It's Only Love,5xGsNXXTu545MWoeuFfjxT,0.515,0.805,5,-4.491,1,0.0345,1.57E-05,0.419,0.743,101.161,194618,4
4,Tina Turner,Foreign Affair,I Don't Wanna Lose You,2TxWkdptNrm2Z0CZfMr3Iq,0.731,0.7,1,-6.211,1,0.0275,0,0.278,0.54,94.037,253173,4
5,Tina Turner,Private Dancer (30th Anniversary Issue),We Don't Need Another Hero (Thunderdome),50XXRUFNjs85P0MjCZ1c9X,0.69,0.674,8,-5.866,0,0.047,0.00648,0.115,0.714,98.85,255187,4
6,Tina Turner,Break Every Rule,Typical Male,2fjJt3OQ8MPaZ3LMzAWiTA,0.762,0.745,1,-7.772,0,0.0407,0.0137,0.0612,0.794,106.013,256827,4
7,Eros Ramazzotti,Eros,Cose della vita (Can't Stop Thinking of You) (feat. Tina Turner),63RAhyfI3l2612x8q53BOh,0.683,0.721,4,-8.522,0,0.051,0.00075,0.347,0.694,89.995,291133,4
8,Tina Turner,Wildest Dreams (Expanded Version),In Your Wildest Dreams (feat. Barry White) - Radio Edit,7e3JHpiOw5yi1H12XPjEuN,0.667,0.601,6,-7.812,0,0.0387,0.0049,0.0891,0.589,88.037,228573,4
9,Tina Turner,Private Dancer (30th Anniversary Issue),Let's Stay Together - 2015 Remaster,19DVNifOaTnuP0iq1kTqgW,0.671,0.802,8,-5.792,0,0.0691,0.00069,0.119,0.492,104.401,316747,4
10,Tina Turner,Break Every Rule,Two People,4Zu3egEh8DxX4Z8mSLjf8L,0.743,0.574,10,-6.563,0,0.0289,0.000441,0.0526,0.682,89.685,249053,4
11,Tina Turner,Twenty Four Seven,When the Heartache Is Over,0coFccPox52uxHy3cdLhBr,0.688,0.772,5,-6.276,1,0.0291,7.42E-05,0.073,0.43,114.975,224493,4
12,Tina Turner,Foreign Affair,Steamy Windows,3dYmruq1HiKJeOQ8h1OEfz,0.745,0.755,9,-7.53,1,0.0318,0.00659,0.169,0.847,133.771,245133,4
13,Tina Turner,Private Dancer (30th Anniversary Issue),Private Dancer - 2015 Remaster,5JjdJK0uGRUk4skRTuQdUZ,0.587,0.572,2,-9.656,1,0.0413,0.0871,0.0915,0.471,115.466,434373,4
14,Tina Turner,Break Every Rule,What You Get Is What You See,5kr90kavZCFmPhzk338xrX,0.623,0.628,5,-10.253,1,0.0349,0.0229,0.244,0.93,156.292,271533,4
15,Tina Turner,Tina Live in Europe,Tonight (With David Bowie) - Live,1RKreBdhKUXDXTZWY9Mu7v,0.593,0.722,4,-12.516,1,0.0465,0.00108,0.933,0.719,101.539,255000,4
16,Tina Turner,What's Love Got to Do with It?,I Don't Wanna Fight,7IUTUjBJ8mzMwZpyxcI5g0,0.638,0.762,2,-9.685,1,0.0381,9.00E-05,0.112,0.726,92.046,369067,4
17,Tina Turner,Private Dancer (30th Anniversary Issue),Better Be Good to Me - 2015 Remaster,4N5HyZ1PlXuP6sryIa4hOQ,0.748,0.722,8,-6.499,1,0.0347,0.0164,0.0857,0.835,120.678,312387,4
18,Tina Turner,Foreign Affair,Look Me in the Heart,1Cz1IYLRmCAqGsiRZl0uFC,0.766,0.769,1,-6.661,0,0.035,0.000225,0.0422,0.722,105.519,221800,4
19,Tina Turner,Wildest Dreams (Expanded Version),On Silent Wings,2ESsNfspVoTIqHuuGbKVQq,0.52,0.582,2,-6.9,1,0.0337,0.000944,0.0613,0.516,115.853,377267,4
20,Tina Turner,Tina Live,Simply the Best - Live in Arnhem,1JLLDS0KN1ITeYL9ikHKIr,0.548,0.96,2,-4.017,0,0.0662,0.0013,0.937,0.165,117.975,306827,4
21,Tina Turner,What's Love Got to Do with It?,Nutbush City Limits,4gENKjBd76hTOrRmlca2Jp,0.741,0.765,11,-9.683,0,0.0304,0.00175,0.0191,0.963,150.203,199933,4
22,Tina Turner,Simply the Best,Way of the World,07FJXQK9TP2pVVYcqJ1ej5,0.724,0.718,8,-7.142,1,0.0454,8.73E-06,0.0675,0.672,104.975,265573,4
23,Jimmy Barnes,Hits,(Simply) The Best,4aGA1s1Ho7UMyenUuczpJ8,0.657,0.83,0,-6.965,1,0.0279,2.76E-06,0.269,0.636,103.921,251907,4
24,Tina Turner,Foreign Affair,Foreign Affair,1tuwxC3imWlflsHGB0plk5,0.722,0.728,0,-10.172,0,0.0312,0.00148,0.0415,0.893,139.027,267427,4
25,Tina Turner,What's Love Got to Do with It?,Disco Inferno,4435IXzAIDxcaZaUUKBDx6,0.736,0.733,1,-9.098,1,0.0306,8.74E-05,0.308,0.965,131.212,245467,4
