file_name,composer,editor,ficta_factor,ficta_bins
CRIM_Mass_0001_1.mei,Pierre Colin,Vincent Besson,0.00906344410876133,low
CRIM_Mass_0001_2.mei,Pierre Colin,Vincent Besson,0.02188183807439825,low
CRIM_Mass_0001_3.mei,Pierre Colin,Vincent Besson,0.018854748603351956,low
CRIM_Mass_0001_4.mei,Pierre Colin,Vincent Besson,0.01820020222446916,low
CRIM_Mass_0001_5.mei,Pierre Colin,Vincent Besson,0.01818181818181818,low
CRIM_Mass_0002_1.mei,Mathieu Sohier,Vincent Besson,0.0026109660574412533,low
CRIM_Mass_0002_2.mei,Mathieu Sohier,Vincent Besson,0.020523708421797595,low
CRIM_Mass_0002_3.mei,Mathieu Sohier,Vincent Besson,0.007893438579181056,low
CRIM_Mass_0002_4.mei,Mathieu Sohier,Vincent Besson,0.009795191451469279,low
CRIM_Mass_0002_5.mei,Mathieu Sohier,Vincent Besson,0.0,low
CRIM_Mass_0003_1.mei,Nicolas De Marle,Vincent Besson,0.015113350125944584,low
CRIM_Mass_0003_2.mei,Nicolas De Marle,Vincent Besson,0.008728179551122194,low
CRIM_Mass_0003_3.mei,Nicolas De Marle,Vincent Besson,0.0043559427504667085,low
CRIM_Mass_0003_4.mei,Nicolas De Marle,Vincent Besson,0.005747126436781609,low
CRIM_Mass_0003_5.mei,Nicolas De Marle,Vincent Besson,0.0019342359767891683,low
CRIM_Mass_0004_1.mei,Pierre Clereau,Vincent Besson,0.013513513513513514,low
CRIM_Mass_0004_2.mei,Pierre Clereau,Vincent Besson,0.010620915032679739,low
CRIM_Mass_0004_3.mei,Pierre Clereau,Vincent Besson,0.01961585615038823,low
CRIM_Mass_0004_4.mei,Pierre Clereau,Vincent Besson,0.014925373134328358,low
CRIM_Mass_0004_5.mei,Pierre Clereau,Vincent Besson,0.005067567567567568,low
CRIM_Mass_0005_1.mei,Antoine de Févin,Vincent Besson,0.011658031088082901,low
CRIM_Mass_0005_2.mei,Antoine de Févin,Vincent Besson,0.00881704628949302,low
CRIM_Mass_0005_3.mei,Antoine de Févin,Vincent Besson,0.004273504273504274,low
CRIM_Mass_0005_4.mei,Antoine de Févin,Vincent Besson,0.007431874483897605,low
CRIM_Mass_0005_5.mei,Antoine de Févin,Vincent Besson,0.008771929824561403,low
CRIM_Mass_0006_1.mei,Jean Guyon,Vincent Besson,0.009271523178807948,low
CRIM_Mass_0006_2.mei,Jean Guyon,Vincent Besson,0.011739594450373533,low
CRIM_Mass_0006_3.mei,Jean Guyon,Vincent Besson,0.017130620985010708,low
CRIM_Mass_0006_4.mei,Jean Guyon,Vincent Besson,0.019861830742659757,low
CRIM_Mass_0006_5.mei,Jean Guyon,Vincent Besson,0.010804321728691477,low
CRIM_Mass_0007_1.mei,Nicolas Gombert,Vincent Besson,0.016602809706257982,low
