link,timestamp,campus,time,date,location,longitude,latitude,device,sound,recorder,purpose,volume,pitch,distractability,rowdiness,multiplicity,repetition,persistence
https://drive.google.com/file/d/1HGte1HHLqxSxL8tQboMWX5kPpMhMh8Fh/view?usp=drive_link,12/17/2023 16:20:02,Bryn Mawr,16:18,12/17/23,Health and Wellness Building lobby,40.026207,-75.312216,Zoom H1 Handy Recorder,Students studying in and moving in and out of the Well’s open lobby,Logan Griffin,Incidental; Academic; Social,4,5,5,4,5,3,6
https://drive.google.com/file/d/1hb3ST3ZkDbV4x1Ikpv5YBRChPsrU5rtN/view?usp=sharing,12/17/2023 16:32:45,Bryn Mawr,16:27,12/17/23,Rhys Carpenter Library B Floor,40.026779,-75.31354,Zoom H1 Handy Recorder,"Students working on finals, Student workers in the stacks",Logan Griffin,Academic; Institutional,2,3,2,1,3,2,3
https://drive.google.com/file/d/1B1x8zARENQHBEblEX8wCbnACe7z02KCU/view?usp=sharing,12/17/2023 16:49:51,Bryn Mawr,16:49,12/17/23,Canaday Library 1st Floor,40.027431,-75.313828,Zoom H1 Handy Recorder,Students working on lab computers and studying,Logan Griffin,Academic; Institutional; Social,4,4,5,4,6,3,8
https://drive.google.com/file/d/1-Gu7cznQHz6mgyxgsL2FvR8errDMZ2sC/view?usp=sharing,12/17/2023 17:20:19,Bryn Mawr,17:18,12/17/23,Erdman Dining Hall,40.02553,-75.3115,Zoom H1 Handy Recorder,Erdman dinner,Logan Griffin,Social; Incidental,7,6,9,7,8,3,10
https://drive.google.com/file/d/1j0wza1xIuYMrbGl7DTyhqOSeCFwvJCh9/view?usp=sharing,12/17/2023 18:07:27,Bryn Mawr,18:02,12/17/23,Labyrinth,40.141,-75.1856,Zoom H1 Handy Recorder,Rain and nature noises out by the Labyrinth,Logan Griffin,Incidental,2,6,2,1,7,9,10
https://drive.google.com/file/d/1JwG4JXGibSPy49ShyY9xYuXmiDOyuKvl/view?usp=sharing,12/17/2023 18:12:15,Bryn Mawr,18:07,12/17/23,Lake Vickers,40.14,-75.1858,Zoom H1 Handy Recorder,Rain on the lake,Logan Griffin,Incidental,7,8,7,2,8,8,10
https://drive.google.com/file/d/17ryANmhXpi4eTaZ_zZOJfzhAJDe8YDC6/view?usp=sharing,12/17/2023 18:14:47,Bryn Mawr,18:12,12/17/23,Applebee Field,40.0288972,-75.3161646,Zoom H1 Handy Recorder,Field nature ambience,Logan Griffin,Incidental,4,7,4,1,7,7,10
https://drive.google.com/file/d/1rOMd-aVXJ__MW52SEo1izJBmjWUtqa13/view?usp=sharing,12/17/2023 18:20:56,Bryn Mawr,18:19,12/17/23,Schwartz Fitness & Athletic Center,40.0301372,-75.3158861,Zoom H1 Handy Recorder,Gym machines and ambience,Logan Griffin,Mechanical,6,3,5,1,2,10,10
https://drive.google.com/file/d/1fGKDQzV7mKNvfdKaW2XQFS3BcBpiYMrL/view?usp=sharing,12/17/2023 18:28:31,Bryn Mawr,18:27,12/17/23,Park Science Atrium,40.0300151,-75.3151857,Zoom H1 Handy Recorder,Students studying in Park study space,Logan Griffin,Academic,1,3,2,1,3,2,1
https://drive.google.com/file/d/1X0dsZw35JrxS5Lw-RJaaSnOu55blUb6Z/view?usp=drive_link,12/17/2023 18:35:45,Bryn Mawr,18:34,12/17/23,Campus Center,40.0288246,-75.3137848,Zoom H1 Handy Recorder,Students working and socializing,Logan Griffin,Academic; Social; Incidental,6,5,7,4,7,2,7
https://drive.google.com/file/d/1Jck-QwgeOX3C9SNBZuV1UGvSHII5N9AV/view?usp=sharing,12/17/2023 18:47:10,Bryn Mawr,18:44,12/17/23,Taylor Hall Porch,40.0272897,-75.3127253,Zoom H1 Handy Recorder,"Rain on Taylor porch, and people walking past",Logan Griffin,Incidental,7,6,8,5,7,8,10
https://drive.google.com/file/d/1kE5xM85Qt1pKXcyFLftSq9LppJGcjeEf/view?usp=sharing,12/17/2023 18:57:01,Bryn Mawr,18:55,12/17/23,Outside Guild Hall,40.0274114,-75.3118124,Zoom H1 Handy Recorder,Rain and traffic near Guild Hall,Logan Griffin,Incidental; Mechanical,4,8,4,1,4,8,10
