,title,author,release_date,peak_weeks,peak_date,total_weeks
0,Bitches Brew,Miles Davis,05.16.70,3512 Wks,07.04.70,29
1,The Man With The Horn,Miles Davis,07.25.81,5312 Wks,09.12.81,18
2,Seven Steps To Heaven,Miles Davis,09.14.63,6212 Wks,10.05.63,15
3,Live--Evil,Miles Davis,12.25.71,12512 Wks,02.12.72,14
4,You're Under Arrest,Miles Davis,06.01.85,11112 Wks,06.29.85,12
5,Miles Davis At Fillmore,Miles Davis,12.12.70,12312 Wks,01.02.71,12
6,On The Corner,Miles Davis,11.18.72,15612 Wks,12.09.72,11
7,Decoy,Miles Davis,06.30.84,16912 Wks,07.28.84,11
8,Tutu,Miles Davis,10.25.86,14112 Wks,11.15.86,10
9,Miles Davis In Europe,Miles Davis,09.26.64,11612 Wks,11.21.64,10
10,My Funny Valentine: Miles Davis In Concert,Miles Davis,04.24.65,13812 Wks,06.05.65,9
11,Quiet Nights,Miles Davis,04.11.64,9312 Wks,05.23.64,9
12,Tribute To Jack Johnson,Miles Davis,04.24.71,15912 Wks,06.05.71,8
13,Get Up With It,Miles Davis,01.04.75,14112 Wks,02.08.75,8
14,In Concert,Miles Davis,05.05.73,15212 Wks,06.09.73,8
15,Star People,Miles Davis,05.21.83,13612 Wks,06.18.83,7
16,We Want Miles,Miles Davis,05.29.82,15912 Wks,06.19.82,7
17,In A Silent Way,Miles Davis,09.06.69,13412 Wks,09.06.69,6
18,Agharta,Miles Davis,03.13.76,16812 Wks,04.03.76,5
19,Amandla,Miles Davis,06.17.89,17712 Wks,07.08.89,5
20,Big Fun,Miles Davis,06.08.74,17912 Wks,07.06.74,5
21,Doo-Bop,Miles Davis,07.25.92,19012 Wks,08.08.92,4
22,Basic Miles - The Classic Performances Of Miles Davis,Miles Davis,10.13.73,18912 Wks,10.20.73,3
23,Directions,Miles Davis,04.11.81,17912 Wks,04.11.81,2
24,Water Babies,Miles Davis,05.07.77,19012 Wks,05.07.77,2
25,LIVE In Europe 1967: The Bootleg Series Vol. 1,The Miles Davis Quintet,10.08.11,17112 Wks,10.08.11,1
26,Miles at the Fillmore: Miles Davis 1970 - The Bootleg Series Vol. 3,Miles Davis,04.12.14,18912 Wks,04.12.14,1
27,Everything's Beautiful,Miles Davis & Robert Glasper,06.18.16,15212 Wks,06.18.16,1
28,"The Final Tour: The Bootleg Series, Vol. 6",Miles Davis & John Coltrane,04.07.18,18712 Wks,04.07.18,1
29,Champions: Rare Miles From The Complete Jack Johnson Sessions,Miles Davis,07.31.21,16112 Wks,07.31.21,1
