,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Miles Davis,Milestones,"Straight, No Chaser (feat. John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers & Philly Joe Jones)",7l5In0rLyHmqJhKlzZPtYo,0.434,0.529,7,-7.434,0,0.0644,0.00638,0.309,0.543,180.575,635067,3
1,Miles Davis,'Round About Midnight,"'Round Midnight (feat. John Coltrane, Red Garland, Paul Chambers & Philly Joe Jones)",5vb7At47uO0yPGfmYnAHuw,0.494,0.182,10,-11.116,0,0.0443,0.00036,0.129,0.21,112.689,355333,4
2,Miles Davis Quintet,Cookin' With The Miles Davis Quintet,My Funny Valentine - Rudy Van Gelder Remaster 2007,4Ti7XXjHWi4P3ygJ1GAZMn,0.517,0.125,0,-13.796,0,0.0402,0.00118,0.127,0.302,69.433,360827,4
3,Miles Davis,Walkin',Solar - Rudy Van Gelder Remaster,16KZuJfRKqMZQvmOibsVqX,0.636,0.181,5,-17.511,0,0.0456,0.00251,0.0706,0.697,84.203,282867,3
4,Miles Davis,Kind Of Blue (Legacy Edition),Stella By Starlight (feat. John Coltrane & Bill Evans),4zxd4tiXPlWMqoJltbVTbE,0.47,0.144,10,-12.824,1,0.0365,0.000118,0.0965,0.243,84.787,284560,4
5,Miles Davis,Milestones,"Milestones (feat. John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers & Philly Joe Jones)",1xicvSO4CJ2ymqYgpk7DFh,0.553,0.546,9,-7.459,0,0.0341,0.000557,0.167,0.7,118.214,342067,4
6,Miles Davis,Sketches Of Spain 50th Anniversary (Legacy Edition),Concierto de Aranjuez: Adagio,5snEgy8RMnkJZqfwqD6svi,0.257,0.0851,5,-22.028,1,0.0399,0.582,0.349,0.0392,107.62,980507,4
7,Miles Davis,Miles Davis And Horns,Blue Room - Take 2,1ueS3LNe63cdkK0boxwEJQ,0.507,0.0593,8,-18.78,1,0.0417,0.966,0.142,0.518,142.388,180693,4
8,Miles Davis,Dig [Original Jazz Classics Remasters] (OJC Remaster),Out Of The Blue - Album - Remastered,4qCQh7NCxDzeSivKQO0aHB,0.488,0.469,7,-10.248,0,0.0374,0.0246,0.0998,0.772,94.837,379413,4
9,Miles Davis,E.S.P. (2022 Remaster),Eighty-One,0eyDYZmV5seBW1j9Ga41AR,0.521,0.416,7,-10.898,0,0.026,0.000428,0.265,0.611,139.282,374133,4
10,Miles Davis,Milestones,"Two Bass Hit (feat. John Coltrane, Cannonball Adderley, Red Garland, Paul Chambers & Philly Joe Jones)",0DtEf3aHfOgaCFJQO98x0c,0.465,0.874,1,-4.425,1,0.148,0.167,0.423,0.835,91.879,310733,4
11,Miles Davis,The Musings Of Miles,Will You Still Be Mine - RVG Remaster,1PH1sjijtkUjujNiiIgPUN,0.604,0.453,8,-11.135,1,0.0378,0.000178,0.18,0.719,127.617,381360,4
