,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,Nina Simone,I Put A Spell On You,Feeling Good,6Rqn2GFlmvmV4w9Ala0I1e,0.399,0.326,7,-9.239,0,0.0386,0,0.191,0.546,79.206,174000,4
1,Nina Simone,Broadway-Blues-Ballads,Don't Let Me Be Misunderstood,7M9pPyt8Gr41THLhbz4NSB,0.388,0.501,11,-11.296,0,0.0731,0,0.305,0.532,158.348,166200,4
2,Nina Simone,I Put A Spell On You,I Put A Spell On You,0sjxRg1VlYfx4YG7uxurrq,0.42,0.398,6,-9.13,0,0.0296,0.000537,0.172,0.364,88.897,155027,3
3,Nina Simone,Pastel Blues,Sinnerman,5xRP5iyVdGglqlY4Vcjhkx,0.436,0.543,11,-13.351,0,0.0962,9.35e-06,0.0937,0.663,148.282,622000,4
4,Nina Simone,Pastel Blues,Strange Fruit,2eKwjJkBUaeaGq5GA1wTwc,0.383,0.0248,11,-15.854,0,0.0673,0,0.0778,0.237,85.103,208933,3
5,Nina Simone,I Put A Spell On You,Ne Me Quitte Pas,6illsnZ2rn1lCzXY9gBC28,0.412,0.244,4,-11.578,0,0.0433,4.78e-05,0.156,0.25,97.855,214533,4
6,Nina Simone,Fodder On My Wings,Color Is A Beautiful Thing,027wIJmxOgCGvpI6qzHjj2,0.645,0.245,11,-9.864,1,0.0499,0,0.162,0.597,77.12,63627,4
7,Nina Simone,Wild Is The Wind,Lilac Wine,3Hi4KlRtdgJbyIUpeFBckY,0.419,0.0758,6,-17.264,1,0.0398,1.34e-05,0.0939,0.231,129.806,253800,4
8,Nina Simone,Pastel Blues,Be My Husband,4ZFwqrpTFL9dRMDSyIH262,0.582,0.36,10,-12.537,0,0.172,0,0.0504,0.382,80.424,200667,4
9,Nina Simone,Here Comes The Sun (Expanded Edition),Here Comes the Sun,1x9ahz0ALGHgbN9wwDjmre,0.415,0.37,1,-12.805,1,0.0378,1.64e-05,0.0736,0.648,116.85,214093,4
10,Nina Simone,Little Girl Blue (2013 Remastered Version),My Baby Just Cares for Me - 2013 Remastered Version,6VTbbVjKOC2qWagIDbkJrC,0.746,0.243,4,-15.134,0,0.123,1.02e-06,0.0905,0.425,118.578,215747,4
11,Nina Simone,Folksy Nina,The Twelveth of Never,7F0YrCETWyKpprlNJpYfWi,0.351,0.00956,10,-23.98,1,0.0433,0.0152,0.663,0.241,110.204,207267,3
12,Nina Simone,At Newport,"Li'l Liza Jane - Live at the Newport Jazz Festival, Newport, RI, June 30, 1960",59ergcrbjTOTKEetpTQJhI,0.497,0.317,11,-18.446,0,0.0834,0,0.786,0.3,75.523,273667,4
13,Nina Simone,Silk & Soul (Expanded Edition),I Wish I Knew How It Would Feel to Be Free,5CKHhg31HcYYhwUeeGqvhq,0.687,0.51,10,-8.501,1,0.076,0,0.117,0.666,122.253,188613,4
14,Nina Simone,Baltimore,Baltimore,39CyGKIFqMzSuynOR8uilD,0.638,0.28,9,-16.516,1,0.0673,0.439,0.0611,0.734,154.955,278867,4
