,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
0,Camélia Jordana,Camelia Jordana,Moi c'est,0cgWTzGYVUWELohSykTxrb,0.862,0.409,6,-10.255,0,0.0399,0.0871,0.0927,0.8,135.013,170893,4,56.0,your 20s are for losing your mind
1,Audrey Hepburn,Moon River (Breakfast at Tiffany's) [Remastered],Moon River (From Breakfast at Tiffany's) [Remastered],1XwAKjAZ1xDZOcuyZoqce4,0.381,0.0251,10,-19.128,1,0.0327,0.00109,0.099,0.173,85.968,123160,3,56.0,your 20s are for losing your mind
2,Camera Obscura,Underachievers Please Try Harder,Suspended From Class,2YDmCSVs46QrhD2sqYGGqx,0.582,0.562,9,-8.985,1,0.0258,0.0126,0.0682,0.707,131.629,226227,4,32.0,your 20s are for losing your mind
3,Julie London,Julie Is Her Name,Cry Me A River,7f6AAixCrVar1ZY7RPHDfM,0.496,0.0688,4,-14.927,0,0.0545,0.00229,0.112,0.161,119.898,178573,4,60.0,your 20s are for losing your mind
4,The Smiths,Hatful of Hollow,"Please, Please, Please, Let Me Get What I Want - 2011 Remaster",6BrMEbPSSj55nQhkgf6DnE,0.241,0.468,2,-9.579,1,0.0272,0.0,0.161,0.451,91.581,112707,3,70.0,your 20s are for losing your mind
5,Hélène Grimaud,Chopin / Rachmaninov: Piano Sonatas,"Piano Sonata No. 2 in B Flat Minor, Op. 36: II. Non allegro - Lento",79O3P99BRXIOWuARKZXNnT,0.255,0.0496,4,-24.645,0,0.0469,0.869,0.0686,0.0385,72.575,445800,4,4.0,your 20s are for losing your mind
6,Fred Astaire,Funny Face (Original Motion Picture Soundtrack / Expanded Edition),Basal Metabolism (Based On How Long Has This Been Going On),3jV7xeKd7V5suD6w9qCT2m,0.491,0.445,4,-10.695,0,0.074,0.164,0.0694,0.451,114.497,173960,4,12.0,your 20s are for losing your mind
7,Phoebe Bridgers,Stranger in the Alps (Deluxe Edition),Motion Sickness,25Syi9wnfn6ZGAmiOBypPq,0.651,0.546,1,-9.021,1,0.0357,0.0437,0.0842,0.623,107.021,229760,4,65.0,your 20s are for losing your mind
8,The Buttertones,Buttertones,Dionysus,7wYU1avLwl1Gtkib8OTrZp,0.331,0.61,9,-8.138,1,0.0293,0.0548,0.14,0.55,132.746,209040,4,52.0,your 20s are for losing your mind
9,Brandi Carlile,Bear Creek,Heart's Content,0pegFWSUOTiG0sLVEfxtvA,0.564,0.209,3,-8.922,1,0.0317,3.99e-05,0.107,0.402,109.024,214667,4,60.0,your 20s are for losing your mind
0,Cigarettes After Sex,Cigarettes After Sex,Opera House,0syIc2ocYBIKASFqifvwRz,0.319,0.293,5,-14.145,1,0.0378,0.85,0.0971,0.0689,115.481,364680,4,61.0,so hot and so miserable
