ac,name
124,"['Bądarzewska-Baranowska, Tekla' 'works'
 ""<Modlitwa dziewicy> (The maiden's prayer), op. 4""
 'use in Taiwanese garbage truck music' 'Beethoven, Ludwig van'
 'bagatelles, <Für Elise>, WoO 59' 'Nixon, Rob' 'writings'
 'concept of slow violence' 'Morton, Timothy' 'concept of hyperobjects'
 'environment' 'environmental awareness' 'Taiwan' 'Taibei'
 'role of garbage truck music' 'ecology' 'sustainability'
 'garbage truck music' 'sound studies'
 'relation to environmental awareness']"
142,"['musicology' 'musicology as discipline' 'ecomusicology' 'ecology'
 'state of research' 'environmental studies' 'relation to ecomusicology']"
143,"['musicology' 'musicology as discipline' 'ecomusicology' 'methodology'
 'performance' 'ecology' 'ethnomusicology' 'ethnomusicology as discipline'
 'Mongolia' 'Kazakh people' 'musical life' 'relation to ecology']"
144,"['musicology' 'musicology as discipline' 'ecomusicology' 'ecology'
 'ethnomusicology' 'ethnomusicology as discipline'
 'relation to soundscape ecology' 'soundscape ecology'
 'relation to ethnomusicology']"
152,"['ecology' 'ecomusicology' 'critical theory' 'sociology'
 'applied to ecomusicology' 'musicology' 'musicology as discipline'
 'ethnomusicology' 'ethnomusicology as discipline']"
153,"['musicology' 'musicology as discipline' 'ecomusicology' 'ecology' 'noise'
 'psychology' 'ecological psychology' 'applied to ecomusicology'
 'pedagogy--general' 'music education' 'college and university']"
166,"['ecology' 'sustainability' 'relation to musicians' 'careers' 'musician'
 'role of sustainability' 'pedagogy--general' 'professional training']"
173,"['geography' 'cultural geography' 'popular music' 'role in defining place'
 'relation to memory and emotion' 'Ireland' 'influenced by popular music'
 'popular music--by place' 'role in geographic and cultural identity'
 'identity--collective' 'role of popular music'
 'relation to cultural geography' ""O'Connor, Sinéad"" 'reception'
 'relation to Irish identity and spatiality' 'MacGowan, Shane'
 'performing groups--popular music' 'The Pogues'
 'performers--popular music' 'ecology' 'environmentalism'
 'relation to popular music and place' 'ethnomusicology'
 'ethnomusicology as discipline' 'ecomusicology'
 'applied to Irish popular music']"
230,"['environment' 'ecology' 'trophic chain' 'relation to arts' 'nature'
 'ecosystems']"
289,"['computer applications' 'sonification' 'parameter mapping sonification'
 'use in sound design' 'sound design' 'ecological sound design'
 'design approaches' 'creative process' 'use of sonification' 'ecology']"
